rank_basis,taker,victim_trades,total_volume_usd,avg_trade_usd,max_trade_usd,trades_ge_10k,protocols_touched,distinct_senders,first_seen,last_seen
by_large_trades,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,882844,4.2518671312057605e+09,4816.102427162398,4.856006554722665e+06,78893,1,186190,2024-01-01 00:03:23.000 UTC,2025-12-23 16:40:23.000 UTC
by_large_trades,0x1111111254eeb25477b68fb85ed929f73a960582,173332,3.3019857292764455e+08,1905.0064207858015,1.405423610735164e+07,3106,11,68912,2024-01-01 00:02:35.000 UTC,2025-12-31 23:20:23.000 UTC
by_large_trades,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,151020,5.504574205751907e+08,3644.9306090265572,3.6868585359375e+06,7726,6,39810,2025-01-29 16:40:47.000 UTC,2025-12-31 23:57:47.000 UTC
by_large_trades,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,94360,4.0929668759722865e+08,4337.607965210138,6.898485771230527e+06,5261,8,32427,2024-01-01 01:17:47.000 UTC,2025-11-13 20:35:59.000 UTC
by_large_trades,0xe37e799d5077682fa0a244d46e5649f71457bd09,78907,1.8021417657010636e+09,22838.807275667095,1.3071146390499642e+07,25612,12,34565,2024-01-01 00:10:35.000 UTC,2024-12-05 08:07:23.000 UTC
by_large_trades,0x74de5d4fcbf63e00296fd95d33236b9794016631,70075,2.2888868364040858e+08,3266.338689124632,1.8609635190682865e+06,3975,8,28351,2024-01-01 00:04:35.000 UTC,2025-12-30 23:44:11.000 UTC
by_large_trades,0x5141b82f5ffda4c6fe1e372978f1c5427640a190,50539,1.3451553181057189e+09,26616.18389967587,1.03213824e+07,11297,14,22073,2024-12-25 08:56:11.000 UTC,2025-10-20 17:40:59.000 UTC
by_large_trades,0x70bf6634ee8cb27d04478f184b9b8bb13e5f4710,32513,1.8045319414609566e+08,5550.185899366274,2.4960319588740226e+06,3683,11,15381,2024-08-30 16:22:59.000 UTC,2025-11-27 14:04:11.000 UTC
by_large_trades,0xf081470f5c6fbccf48cc4e5b82dd926409dcdd67,30624,1.0638171717067161e+09,34738.02154214721,1.88749e+07,7446,12,12962,2024-01-01 00:22:47.000 UTC,2025-01-22 00:56:47.000 UTC
by_large_trades,0xb1b2d032aa2f52347fbcfd08e5c3cc55216e8404,25814,7.696531206924656e+07,2981.5337440631656,315110.2155293456,1460,9,6,2024-01-28 16:28:23.000 UTC,2025-12-31 23:21:11.000 UTC
by_large_trades,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,23216,7.062749220725845e+08,30421.903948681276,7.180739954052583e+06,7644,10,7294,2024-01-01 00:35:47.000 UTC,2025-12-31 17:50:11.000 UTC
by_large_trades,0xdef1c0ded9bec7f1a1670819833240f027b25eff,19171,1.9405262501299953e+08,10122.196286735149,1.6854070533921395e+06,3572,2,10863,2024-01-01 00:09:11.000 UTC,2025-06-27 08:01:35.000 UTC
by_large_trades,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,17662,7.247790643475902e+07,4103.606977395483,397170.513582485,1528,7,9297,2024-01-01 00:16:47.000 UTC,2025-12-31 15:43:35.000 UTC
by_large_trades,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,16992,2.9038695270854145e+08,17089.62763115239,1.8268968954504977e+06,3351,7,1,2024-01-01 00:26:35.000 UTC,2024-08-13 05:33:35.000 UTC
by_large_trades,0x3451b6b219478037a1ac572706627fc2bda1e812,16859,3.856598678298445e+08,22875.60755856483,5.252919013621168e+06,6272,13,8671,2024-10-18 16:00:11.000 UTC,2024-12-25 08:51:23.000 UTC
by_large_trades,0x1f2f10d1c40777ae1da742455c65828ff36df387,15287,6.605021781409086e+08,43206.78865316338,5.216387164593406e+06,4298,10,1,2024-08-06 09:23:11.000 UTC,2025-12-31 22:43:23.000 UTC
by_large_trades,0x6a000f20005980200259b80c5102003040001068,11404,4.4930857291644764e+08,39399.208428310034,6.997156054382478e+06,3857,10,3757,2024-06-20 07:58:47.000 UTC,2025-12-31 23:01:59.000 UTC
by_large_trades,0xe592427a0aece92de3edee1f18e0157c05861564,10960,1.728127329577849e+08,15767.585123885483,2.4513999853626615e+06,2665,1,5506,2024-01-01 00:13:23.000 UTC,2025-12-31 23:33:47.000 UTC
by_large_trades,0x6e4141d33021b52c91c28608403db4a0ffb50ec6,10622,3.5878232999378115e+08,33777.28582129365,8.808184818275701e+06,1679,12,4225,2025-05-12 13:28:35.000 UTC,2025-10-16 08:52:35.000 UTC
by_large_trades,0x0f4a1d7fdf4890be35e71f3e0bbc4a0ec377eca3,9661,2.4914056815458158e+08,25788.279490175093,6.0624237e+06,1730,13,4463,2024-07-01 08:44:11.000 UTC,2025-05-12 12:26:59.000 UTC
by_large_trades,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,9174,1.0728870463753109e+08,11694.866430949542,4.5013435705809165e+06,1981,1,2350,2024-01-01 00:10:59.000 UTC,2025-12-31 21:28:11.000 UTC
