date,sandwich_trade_count,priced_trade_count,total_sandwich_volume_usd,unique_sandwich_bots,unique_transactions
2024-01-01,12727,12724,1.8965454881127104e+08,262,8324
2024-01-02,12987,12978,2.8201601122290033e+08,250,8432
2024-01-03,12435,12435,2.6739556953396374e+08,242,8068
2024-01-04,12986,12984,2.3238668273011762e+08,269,8323
2024-01-05,9721,9717,2.579300939221567e+08,249,6795
2024-01-06,9270,9221,1.7178989823088846e+08,228,6380
2024-01-07,7362,7337,1.1607793877243102e+08,179,5266
2024-01-08,9361,9359,2.582028529588734e+08,189,6370
2024-01-09,11847,11841,3.4480196530511206e+08,218,7797
2024-01-10,9156,9138,3.283438115025094e+08,201,6467
2024-01-11,9295,9247,2.619320047094983e+08,219,6368
2024-01-12,8952,8914,3.220163529106822e+08,213,6143
2024-01-13,13426,13412,1.7034270537825897e+08,181,8380
2024-01-14,12910,12910,1.6413030724813536e+08,171,7849
2024-01-15,11712,11702,1.516682810071733e+08,168,7567
2024-01-16,20695,20683,1.941321867524799e+08,175,10971
2024-01-17,20865,20859,2.2147876000836614e+08,176,10476
2024-01-18,14562,14555,2.3165070578034878e+08,177,8837
2024-01-19,15064,15060,2.749497774764261e+08,171,8931
2024-01-20,16780,16748,1.162648478304968e+08,212,9484
2024-01-21,16514,16494,1.5347135339732403e+08,210,9322
2024-01-22,14724,14710,4.006109494637915e+08,230,8600
2024-01-23,15130,15116,3.9686340368388134e+08,227,9089
2024-01-24,17219,17185,2.216009021991106e+08,247,10205
2024-01-25,15300,15291,2.3931526536422405e+08,225,9024
2024-01-26,16895,16879,2.797913407815508e+08,185,9849
2024-01-27,12903,12884,1.6187672462103677e+08,178,7909
2024-01-28,13863,13847,1.7903923150185457e+08,197,8110
2024-01-29,14122,14104,2.796623806195177e+08,203,8371
2024-01-30,14968,14968,2.260654258825775e+08,207,9150
2024-01-31,15098,15076,2.80211117233026e+08,243,9145
2024-02-01,12042,12036,2.2102365988319334e+08,167,7420
2024-02-02,13654,13652,1.9637373176846105e+08,180,8266
2024-02-03,15767,15760,1.6216062942920014e+08,189,9456
2024-02-04,13359,13355,1.6820888439201987e+08,203,7816
2024-02-05,10283,10280,2.0860261800263965e+08,197,6699
2024-02-06,11254,11252,1.756885215202927e+08,169,7234
2024-02-07,10316,10316,2.0485125616299948e+08,149,6904
2024-02-08,12668,12666,1.6402702984741348e+08,139,8089
2024-02-09,8921,8914,1.7906831559525564e+08,123,6155
2024-02-10,10787,10787,1.5534928351706547e+08,171,7201
2024-02-11,12232,12215,1.912031078978542e+08,177,7967
2024-02-12,9845,9809,1.7013629013867518e+08,184,6663
2024-02-13,11707,11699,2.3058231248676157e+08,222,7326
2024-02-14,14047,14012,3.183780597810874e+08,216,8636
2024-02-15,11204,11199,2.7631433962651277e+08,227,7311
2024-02-16,12530,12510,2.1541702479020017e+08,173,7692
2024-02-17,12525,12512,1.5725428157171717e+08,198,7652
2024-02-18,15399,15392,1.861741506942548e+08,200,9015
2024-02-19,12022,12008,2.4248017698135167e+08,214,7490
2024-02-20,10037,10033,3.129668593493928e+08,207,6644
2024-02-21,8083,8005,3.138294176517669e+08,150,5651
2024-02-22,8754,8748,2.0945125611570078e+08,140,5810
2024-02-23,8886,8878,1.834602134036188e+08,184,5983
2024-02-24,10643,10634,2.1379925401009378e+08,160,6861
2024-02-25,10026,10024,1.8547253782897285e+08,176,6504
2024-02-26,8991,8987,2.8965630487262684e+08,160,6029
2024-02-27,8449,8445,3.090927196568356e+08,153,5675
2024-02-28,7022,7020,3.165107691326571e+08,151,4914
2024-02-29,6760,6758,2.9680365193143696e+08,135,4796
2024-03-01,8472,8470,2.9024620713930714e+08,137,5653
2024-03-02,10815,10815,2.3561165869900477e+08,173,6785
2024-03-03,10331,10331,1.5617273794994435e+08,155,6528
2024-03-04,10345,10343,2.747607951318956e+08,175,6671
2024-03-05,9621,9621,3.899574828939023e+08,180,6273
2024-03-06,9297,9297,3.2624297978641224e+08,172,6195
2024-03-07,9576,9576,2.308049469640174e+08,190,6361
2024-03-08,10929,10927,2.9298453073563564e+08,171,6911
2024-03-09,10528,10528,2.0583859246749008e+08,208,6647
2024-03-10,13564,13564,2.714491872760139e+08,278,7993
2024-03-11,10893,10893,3.4179604492530775e+08,258,6929
2024-03-12,10087,10087,3.490404749891479e+08,272,6319
2024-03-13,10065,10065,3.164761847946452e+08,236,6360
2024-03-14,9583,9583,3.1646493176172554e+08,228,6124
2024-03-15,9824,9820,4.151986919450167e+08,277,6420
2024-03-16,11783,11777,2.994324722404185e+08,267,7410
2024-03-17,13827,13825,2.4718119316004032e+08,259,8270
2024-03-18,10789,10789,2.6296821825592446e+08,255,7093
2024-03-19,9655,9651,4.072894754799106e+08,252,6391
2024-03-20,9375,9375,3.0191453010986394e+08,248,6173
2024-03-21,9415,9413,2.340537944137988e+08,232,6151
2024-03-22,10800,10800,2.6330980171693578e+08,244,6990
2024-03-23,9469,9469,1.2900511998051304e+08,235,6227
2024-03-24,10863,10863,1.4259770064638305e+08,246,6940
2024-03-25,11542,11536,2.6110432380373484e+08,325,7236
2024-03-26,11171,11171,4.107121997399459e+08,255,7052
2024-03-27,10759,10757,3.312630215243645e+08,261,6588
2024-03-28,12890,12886,2.851221745564114e+08,264,7749
2024-03-29,12967,12961,2.6576248438453752e+08,297,7699
2024-03-30,11975,11971,2.6316194288627353e+08,309,7334
2024-03-31,12594,12594,2.789404956071564e+08,285,7678
2024-04-01,15460,15458,2.975554150698292e+08,292,8707
2024-04-02,14107,14105,5.536697891036215e+08,291,8115
2024-04-03,15137,15137,4.02711371783551e+08,289,8859
2024-04-04,15041,15039,3.693577443877332e+08,259,8771
2024-04-05,14832,14832,2.3538947737236452e+08,299,8655
2024-04-06,18270,18268,2.3664987173605564e+08,280,9892
2024-04-07,18689,18687,2.2832582334694886e+08,286,9927
2024-04-08,14235,14235,3.543292279790771e+08,273,8271
2024-04-09,10955,10955,3.5378698241174734e+08,235,7003
2024-04-10,12700,12697,2.924786168899529e+08,273,7700
2024-04-11,13136,13128,2.944100536226847e+08,249,7849
2024-04-12,11955,11955,3.2203639009096503e+08,285,7461
2024-04-13,11801,11801,4.5226038994323e+08,305,7474
2024-04-14,13601,13597,3.6316624208955574e+08,325,8453
2024-04-15,13302,13296,3.801823352540841e+08,289,8190
2024-04-16,12696,12686,3.044648566400918e+08,333,8078
2024-04-17,11861,11859,2.425535557547573e+08,245,7485
2024-04-18,12943,12943,2.0274487020577875e+08,281,7982
2024-04-19,12087,12087,2.769768537280059e+08,303,7690
2024-04-20,12946,12921,1.6573037691789222e+08,240,8095
2024-04-21,16699,16697,1.936670680930378e+08,377,9216
2024-04-22,20061,20058,2.980411787927436e+08,275,10719
2024-04-23,16852,16850,2.884880316254269e+08,279,9502
2024-04-24,22357,22354,5.327963649078435e+08,316,12012
2024-04-25,19242,19229,3.112630528301699e+08,290,10797
2024-04-26,16158,16134,2.7508567498501927e+08,292,9534
2024-04-27,16198,16193,2.4429347276486123e+08,294,9432
2024-04-28,17570,17562,2.4508932516447932e+08,257,10184
2024-04-29,13455,13451,3.3347969614685446e+08,250,8403
2024-04-30,11381,11377,3.662340707366052e+08,274,7373
2024-05-01,13203,13194,2.7800655325968796e+08,262,8102
2024-05-02,13272,13267,2.2276496701236647e+08,271,8388
2024-05-03,16830,16826,2.3395093632435697e+08,270,9772
2024-05-04,14647,14634,1.553320235248263e+08,266,8824
2024-05-05,16141,16131,1.498497738749176e+08,241,9606
2024-05-06,17157,17149,2.3417714431747863e+08,304,9944
2024-05-07,14326,14315,2.0741426184255266e+08,247,8959
2024-05-08,13689,13683,2.2565526496164975e+08,283,8617
2024-05-09,15473,15467,2.1542150495587862e+08,285,9320
2024-05-10,13197,13187,2.4103713550899088e+08,253,8400
2024-05-11,13888,13886,1.158913590912287e+08,233,8780
2024-05-12,18408,18388,1.0329422643022917e+08,272,10453
