bot_address,total_trades,priced_trades,total_volume_usd
0x1f2f10d1c40777ae1da742455c65828ff36df387,2.710558e+06,2.709538e+06,7.807893210363722e+10
0x6b75d8af000000e20b7a7ddf000ba900b4009a80,2.454337e+06,2.453898e+06,3.3034746204627697e+10
0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,75909,75695,2.583574659449524e+10
0xa7c624014699a8b537cc4b326eb65f00852ee2a3,4326,4326,1.033590081722988e+10
0x654fae4aa229d104cabead47e56703f58b174be4,4612,4602,7.332813981309257e+09
0x96779bd998538c42a1193ec0c21d2901b26e6f15,4450,4440,5.833175201665179e+09
0xba6d84cc7418a9c46133788c04f6a459e1fb669c,4768,4766,5.812830159017704e+09
0x1484485f1ba8ff4d88bb1a8e7f131dd6f1910edb,3020,3020,5.647197857716074e+09
0xaf92e072cb195e7549f18ed99e72800f9203c72d,24012,23928,5.162761524994301e+09
0xbf060fe5b35aefbb80041e313510294e501b5e38,5479,5463,5.080531248227552e+09
0x00000000032962b51589768828ad878876299e14,3008,3008,3.655905848151737e+09
0xca4f620a600b67430665538e33fd39546616916a,2933,2927,3.158768634088395e+09
0x7f9b6bb65c8f9105f46ec3b18cb31845c85b6e72,6060,6060,3.131399524360921e+09
0x00000000003b3cc22af3ae1eac0440bcee416b40,41149,41109,2.4696086491098514e+09
0x731b25b19a606122cfdaa659774a4022511875c9,1784,1784,2.3323096018670382e+09
0xfac983fce7ef3cee8ffb2ceb967e1b2362aada00,900,899,2.1971343973530483e+09
0x429cf888dae41d589d57f6dc685707bec755fe63,95444,95444,1.9146197352977648e+09
0xa6381631e0634e97e23a80a3c57f9582aa959e16,7939,7917,1.905960892060747e+09
0xe8c060f8052e07423f71d445277c61ac5138a2e5,23393,23360,1.8724547539062665e+09
0xb03feb49877a85925f15b42388f22512976ed54d,1492,1492,1.7531671365219002e+09
0x3bfe65f217df9ad7358698580aeb47f692241c48,1793,1785,1.4740346170404236e+09
0x58de74647f46683d886f8fc12198c2f53f63a7d4,3304,3304,1.4488169507253923e+09
0x085a393044b24217b3e099654bb97f01d1563b62,414,414,1.3338687754645762e+09
0x6dc71298ce1b61ba4c83d5cdf4b3b1e9aa558a7f,11996,11970,1.3053343037620018e+09
0x1c4376780c8ce020042c674a44f185109f59b61f,1387,1381,1.2543124200635958e+09
0x8ce3c66b4663090980f6ca05ae3bc390d74731e9,1078,1078,1.2299019889359043e+09
0x0811fd1808e14f0b93f0514313965a5f142c5539,382,382,1.1182149046807785e+09
0x80f6a8a52a1e187f1ecc26ebdc96d52e34f695ea,222,222,1.0822343349313214e+09
0x97e07a5501e0c915c942d5d6d6a17ac4735caf48,833,831,1.010876235352602e+09
0x2ba151b2cb21e2b1ac297765b921d35aeaff139a,6290,6280,9.958899887812566e+08
0x64b0f28ebf14d3fe14108af269a097084c10b1f4,486,486,9.828055730819099e+08
0x1aecea38b8626eeb3748234343cff427268dd487,448,448,9.798113324161764e+08
0x36265ccb447d33aa7b4dcf0830b5fcdd91dbd5d1,1744,1694,9.777818059207952e+08
0x9f739b86d916bba4ed6323868ce0da252d9222a9,1269,1269,9.710663504570835e+08
0xb7ab1de5b259a880c4bb5451bdbe6f80f3798538,958,949,8.454513915229834e+08
0x182dbccd5b62686b59dd397b8c57fb00daf82ef5,1702,1696,8.409462111719553e+08
0xddc25c965443834179438c2eb30e70f34b854a04,1742,1720,8.186823047118375e+08
0x00000000a991c429ee2ec6df19d40fe0c80088b8,318511,318511,8.101942812876823e+08
0xb5dc0a1c9fc1cf334e0d81d773638a277c2ead7d,4844,4828,7.912024602997919e+08
0xa6218584e4e45edc5991c6c59475e829ccad87c3,1006,1006,7.760144297131255e+08
0xbf75bf95de498d88746565c012d2e7005569e6fa,4328,4326,7.144903609581155e+08
0x61df5e894fca51fabf9850c96057dc9f1d018f5d,872,872,6.93598733951942e+08
0x4bb41165a817628992ee40ea8e92f8800f143fbd,2954,2950,5.993595607672063e+08
0x5dda1dad9f282369521813e7313947c0eca33420,1248,1246,5.590244639830949e+08
0x05656db19ec9ff8dfb437475b3d76ca9a29e968f,486,486,5.471584068590777e+08
