victim_tier,pctile_in_tier,trades_in_bin,lower_edge_usd,upper_edge_usd,mean_usd,volume_usd,cutoff_p50,cutoff_p90
Retail,1,18769,1.2390000000000001e-23,7.142347302292057,3.1201499164351967,58562.093781572206,1001.8474213724877,8986.607999999998
Retail,2,18769,7.14300587077,16.288832896315746,11.641692924602156,218502.93450185788,1001.8474213724877,8986.607999999998
Retail,3,18769,16.289295144700002,24.5727,20.548168532609118,385668.57518854056,1001.8474213724877,8986.607999999998
Retail,4,18770,24.572745831328,31.922335336166768,28.022431848134573,525981.0457894859,1001.8474213724877,8986.607999999998
Retail,5,18769,31.92399925,40.417297784999995,36.43263746953691,683804.1726657382,1001.8474213724877,8986.607999999998
Retail,6,18769,40.4174,48.38633419413172,44.9221179465061,843143.2317379729,1001.8474213724877,8986.607999999998
Retail,7,18769,48.386482405603616,52.4782,50.17769271001712,941785.1144743114,1001.8474213724877,8986.607999999998
Retail,8,18770,52.4786965478061,60.260437831883856,56.404320049931634,1.0587090873372168e+06,1001.8474213724877,8986.607999999998
Retail,9,18769,60.260810900040156,68.40575890749588,64.33807280930584,1.2075612885578615e+06,1001.8474213724877,8986.607999999998
Retail,10,18769,68.40636186890012,75.371904,71.94795863662064,1.3503912356507329e+06,1001.8474213724877,8986.607999999998
Retail,11,18770,75.372,82.3839,78.81247146275759,1.4793100893559598e+06,1001.8474213724877,8986.607999999998
Retail,12,18769,82.38476487141054,90.23437966872,86.66587258165947,1.6266317624851665e+06,1001.8474213724877,8986.607999999998
Retail,13,18769,90.23549999999999,96.44194609244998,93.45203754684576,1.754001292716748e+06,1001.8474213724877,8986.607999999998
Retail,14,18769,96.44198783677179,99.63161229467346,98.45510442292633,1.847903854913904e+06,1001.8474213724877,8986.607999999998
Retail,15,18770,99.63169089402056,102.71641255171077,100.74099021399087,1.8909083863166086e+06,1001.8474213724877,8986.607999999998
Retail,16,18769,102.716915,108.60738,105.47189081761148,1.97960191875575e+06,1001.8474213724877,8986.607999999998
Retail,17,18769,108.60776020458856,115.17438651427499,111.92491717226578,2.1007187704062564e+06,1001.8474213724877,8986.607999999998
Retail,18,18770,115.17439999999999,121.3017489158651,118.25944603239506,2.2197298020280553e+06,1001.8474213724877,8986.607999999998
Retail,19,18769,121.30191800761895,127.05250000000001,124.30329913127831,2.3330486213949625e+06,1001.8474213724877,8986.607999999998
Retail,20,18769,127.05264,132.9045,129.98664204486667,2.4397192845401024e+06,1001.8474213724877,8986.607999999998
Retail,21,18769,132.9046375,140.5686,136.7410982425248,2.566493672913948e+06,1001.8474213724877,8986.607999999998
Retail,22,18770,140.5692744076112,148.2524,144.62519422767087,2.7146148956533824e+06,1001.8474213724877,8986.607999999998
Retail,23,18769,148.2534,153.8745,150.69658141392267,2.828424136557915e+06,1001.8474213724877,8986.607999999998
Retail,24,18769,153.874717235544,160.7914,157.3496791651166,2.9532961282500736e+06,1001.8474213724877,8986.607999999998
Retail,25,18770,160.79150801217864,169.133,164.9654029494901,3.0964006133619295e+06,1001.8474213724877,8986.607999999998
Retail,26,18769,169.1330712664769,176.68503960888123,172.95599798944446,3.246211126263883e+06,1001.8474213724877,8986.607999999998
Retail,27,18769,176.6853,184.31119999999999,180.44949371425452,3.386856547522843e+06,1001.8474213724877,8986.607999999998
Retail,28,18769,184.31128061346246,191.51118719872048,188.03428718658404,3.5292155362049956e+06,1001.8474213724877,8986.607999999998
Retail,29,18770,191.5113171198947,198.08440000500002,195.06219617949128,3.6613174222890516e+06,1001.8474213724877,8986.607999999998
