date,sandwich_trade_count,total_sandwich_volume_usd,unique_sandwich_bots,unique_transactions
2024-01-01 00:00:00.000 UTC,12727,189654548.8112716,262,8324
2024-01-02 00:00:00.000 UTC,12987,282016011.22290015,250,8432
2024-01-03 00:00:00.000 UTC,12435,267395569.5339629,242,8068
2024-01-04 00:00:00.000 UTC,12986,232386682.7301182,269,8323
2024-01-05 00:00:00.000 UTC,9721,257930093.92215648,249,6795
2024-01-06 00:00:00.000 UTC,9270,171789898.2308889,228,6380
2024-01-07 00:00:00.000 UTC,7362,116077938.77243124,179,5266
2024-01-08 00:00:00.000 UTC,9361,258202852.9588733,189,6370
2024-01-09 00:00:00.000 UTC,11847,344801965.3051109,218,7797
2024-01-10 00:00:00.000 UTC,9156,328343811.50250983,201,6467
2024-01-11 00:00:00.000 UTC,9295,261932004.70949894,219,6368
2024-01-12 00:00:00.000 UTC,8952,322016352.91068196,213,6143
2024-01-13 00:00:00.000 UTC,13426,170342705.37826014,181,8380
2024-01-14 00:00:00.000 UTC,12910,164130307.24813545,171,7849
2024-01-15 00:00:00.000 UTC,11712,151668281.0071736,168,7567
2024-01-16 00:00:00.000 UTC,20695,194132186.75247854,175,10971
2024-01-17 00:00:00.000 UTC,20865,221478760.00836718,176,10476
2024-01-18 00:00:00.000 UTC,14562,231650705.7803486,177,8837
2024-01-19 00:00:00.000 UTC,15064,274949777.4764263,171,8931
2024-01-20 00:00:00.000 UTC,16780,116264847.83049719,212,9484
2024-01-21 00:00:00.000 UTC,16514,153471353.397324,210,9322
2024-01-22 00:00:00.000 UTC,14724,400610949.4637937,230,8600
2024-01-23 00:00:00.000 UTC,15130,396863403.68388116,227,9089
2024-01-24 00:00:00.000 UTC,17219,221600902.19911093,247,10205
2024-01-25 00:00:00.000 UTC,15300,239315265.3642235,225,9024
2024-01-26 00:00:00.000 UTC,16895,279791340.78154945,185,9849
2024-01-27 00:00:00.000 UTC,12903,161876724.621037,178,7909
2024-01-28 00:00:00.000 UTC,13863,179039231.50185493,197,8110
2024-01-29 00:00:00.000 UTC,14122,279662380.61951846,203,8371
2024-01-30 00:00:00.000 UTC,14968,226065425.88257667,207,9150
2024-01-31 00:00:00.000 UTC,15098,280211117.23302597,243,9145
2024-02-01 00:00:00.000 UTC,12042,221023659.8831946,167,7420
2024-02-02 00:00:00.000 UTC,13654,196373731.7684612,180,8266
2024-02-03 00:00:00.000 UTC,15767,162160629.42919946,189,9456
2024-02-04 00:00:00.000 UTC,13359,168208884.39201924,203,7816
2024-02-05 00:00:00.000 UTC,10283,208602618.00263917,197,6699
2024-02-06 00:00:00.000 UTC,11254,175688521.520292,169,7234
2024-02-07 00:00:00.000 UTC,10316,204851256.1629998,149,6904
2024-02-08 00:00:00.000 UTC,12668,164027029.84741336,139,8089
2024-02-09 00:00:00.000 UTC,8921,179068315.5952553,123,6155
2024-02-10 00:00:00.000 UTC,10787,155349283.5170663,171,7201
2024-02-11 00:00:00.000 UTC,12232,191203107.89785552,177,7967
2024-02-12 00:00:00.000 UTC,9845,170136290.1386755,184,6663
2024-02-13 00:00:00.000 UTC,11707,230582312.48676234,222,7326
2024-02-14 00:00:00.000 UTC,14047,318378059.78108525,216,8636
2024-02-15 00:00:00.000 UTC,11204,276314339.62651247,227,7311
2024-02-16 00:00:00.000 UTC,12530,215417024.79020125,173,7692
2024-02-17 00:00:00.000 UTC,12525,157254281.57171744,198,7652
2024-02-18 00:00:00.000 UTC,15399,186174150.6942556,200,9015
2024-02-19 00:00:00.000 UTC,12022,242480176.9813515,214,7490
2024-02-20 00:00:00.000 UTC,10037,312966859.3493929,207,6644
2024-02-21 00:00:00.000 UTC,8083,313829417.6517684,150,5651
2024-02-22 00:00:00.000 UTC,8754,209451256.11570144,140,5810
2024-02-23 00:00:00.000 UTC,8886,183460213.40361848,184,5983
2024-02-24 00:00:00.000 UTC,10643,213799254.01009384,160,6861
2024-02-25 00:00:00.000 UTC,10026,185472537.82897317,176,6504
2024-02-26 00:00:00.000 UTC,8991,289656304.8726271,160,6029
2024-02-27 00:00:00.000 UTC,8449,309092719.65683603,153,5675
2024-02-28 00:00:00.000 UTC,7022,316510769.1326575,151,4914
2024-02-29 00:00:00.000 UTC,6760,296803651.9314371,135,4796
2024-03-01 00:00:00.000 UTC,8472,290246207.13930553,137,5653
2024-03-02 00:00:00.000 UTC,10815,235611658.69900504,173,6785
2024-03-03 00:00:00.000 UTC,10331,156172737.94994304,155,6528
2024-03-04 00:00:00.000 UTC,10345,274760795.1318951,175,6671
2024-03-05 00:00:00.000 UTC,9621,389957482.893903,180,6273
2024-03-06 00:00:00.000 UTC,9297,326242979.7864145,172,6195
2024-03-07 00:00:00.000 UTC,9576,230804946.96401733,190,6361
2024-03-08 00:00:00.000 UTC,10929,292984530.7356361,171,6911
2024-03-09 00:00:00.000 UTC,10528,205838592.4674913,208,6647
2024-03-10 00:00:00.000 UTC,13564,271449187.27601373,278,7993
2024-03-11 00:00:00.000 UTC,10893,341796044.92530686,258,6929
2024-03-12 00:00:00.000 UTC,10087,349040474.98914593,272,6319
2024-03-13 00:00:00.000 UTC,10065,316476184.79464394,236,6360
2024-03-14 00:00:00.000 UTC,9583,316464931.76172584,228,6124
2024-03-15 00:00:00.000 UTC,9824,415198691.94501674,277,6420
2024-03-16 00:00:00.000 UTC,11783,299432472.24041784,267,7410
2024-03-17 00:00:00.000 UTC,13827,247181193.1600399,259,8270
2024-03-18 00:00:00.000 UTC,10789,262968218.2559256,255,7093
2024-03-19 00:00:00.000 UTC,9655,407289475.4799106,252,6391
2024-03-20 00:00:00.000 UTC,9375,301914530.10986423,248,6173
2024-03-21 00:00:00.000 UTC,9415,234053794.41379917,232,6151
2024-03-22 00:00:00.000 UTC,10800,263309801.71693575,244,6990
2024-03-23 00:00:00.000 UTC,9469,129005119.98051274,235,6227
2024-03-24 00:00:00.000 UTC,10863,142597700.6463826,246,6940
2024-03-25 00:00:00.000 UTC,11542,261104323.80373538,325,7236
2024-03-26 00:00:00.000 UTC,11171,410712199.73994434,255,7052
2024-03-27 00:00:00.000 UTC,10759,331263021.524364,261,6588
2024-03-28 00:00:00.000 UTC,12890,285122174.55641186,264,7749
2024-03-29 00:00:00.000 UTC,12967,265762484.38453853,297,7699
2024-03-30 00:00:00.000 UTC,11975,263161942.8862727,309,7334
2024-03-31 00:00:00.000 UTC,12594,278940495.60715663,285,7678
2024-04-01 00:00:00.000 UTC,15460,297555415.0698297,292,8707
2024-04-02 00:00:00.000 UTC,14107,553669789.1036202,291,8115
2024-04-03 00:00:00.000 UTC,15137,402711371.78354955,289,8859
2024-04-04 00:00:00.000 UTC,15041,369357744.3877299,259,8771
