bot_address,total_volume_usd
0x1f2f10d1c40777ae1da742455c65828ff36df387,62055408756.58787
0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,41862599769.00539
0x6b75d8af000000e20b7a7ddf000ba900b4009a80,33034746204.62771
0x654fae4aa229d104cabead47e56703f58b174be4,25529078359.519253
0xfac983fce7ef3cee8ffb2ceb967e1b2362aada00,8803426329.701994
0xaf92e072cb195e7549f18ed99e72800f9203c72d,5162755271.607999
0x0811fd1808e14f0b93f0514313965a5f142c5539,4595728712.114322
0x00000000032962b51589768828ad878876299e14,3655905848.1517363
0x96779bd998538c42a1193ec0c21d2901b26e6f15,2801804795.4919252
0x00000000003b3cc22af3ae1eac0440bcee416b40,2469608649.109852
0x731b25b19a606122cfdaa659774a4022511875c9,2332309601.8670363
0x7f9b6bb65c8f9105f46ec3b18cb31845c85b6e72,2293887866.4019146
0xb7ab1de5b259a880c4bb5451bdbe6f80f3798538,2119983274.2380116
0x6d3cf81dd10cb88e27d4c2bd5cd81433017a269e,2058802374.4684725
0x429cf888dae41d589d57f6dc685707bec755fe63,1914619735.2977633
0xa6381631e0634e97e23a80a3c57f9582aa959e16,1905960892.0607455
0xe8c060f8052e07423f71d445277c61ac5138a2e5,1872454753.9062662
0xb03feb49877a85925f15b42388f22512976ed54d,1753167136.5219007
0xba6d84cc7418a9c46133788c04f6a459e1fb669c,1507003400.9253528
0x3bfe65f217df9ad7358698580aeb47f692241c48,1474034411.36734
0x58de74647f46683d886f8fc12198c2f53f63a7d4,1448816950.7253904
0xbf060fe5b35aefbb80041e313510294e501b5e38,1446018462.5642138
0x085a393044b24217b3e099654bb97f01d1563b62,1333868775.4645762
0x6dc71298ce1b61ba4c83d5cdf4b3b1e9aa558a7f,1305334303.7620006
0x26ce7c1976c5eec83ea6ac22d83cb341b08850af,1233500189.345841
0x8ce3c66b4663090980f6ca05ae3bc390d74731e9,1229901988.9359035
0xca4f620a600b67430665538e33fd39546616916a,1198268163.4340749
0xa7c624014699a8b537cc4b326eb65f00852ee2a3,1044494517.280699
0x2ba151b2cb21e2b1ac297765b921d35aeaff139a,995889988.7812588
0x64b0f28ebf14d3fe14108af269a097084c10b1f4,982805573.0819101
0x1aecea38b8626eeb3748234343cff427268dd487,979811332.416177
0x36265ccb447d33aa7b4dcf0830b5fcdd91dbd5d1,977781805.920796
0x182dbccd5b62686b59dd397b8c57fb00daf82ef5,840946211.1719553
0xddc25c965443834179438c2eb30e70f34b854a04,818682173.7278826
0x00000000a991c429ee2ec6df19d40fe0c80088b8,810194281.2876844
0xae42c1c7a92dc474440092b592527b90673789bc,807335617.7129204
0xb5dc0a1c9fc1cf334e0d81d773638a277c2ead7d,791202460.2997922
0xa6218584e4e45edc5991c6c59475e829ccad87c3,776014429.7131243
0xbf75bf95de498d88746565c012d2e7005569e6fa,714490360.9581151
0x4bb41165a817628992ee40ea8e92f8800f143fbd,599359560.7672056
0x5dda1dad9f282369521813e7313947c0eca33420,559024463.9830948
0x61df5e894fca51fabf9850c96057dc9f1d018f5d,554992447.585082
0x05656db19ec9ff8dfb437475b3d76ca9a29e968f,547158406.8590778
