window,analysis_role,metric,full_sample_estimate,full_sample_bootstrap_ci_low,full_sample_bootstrap_ci_high,subsample_exponent,subsample_size_m,n_full,subsample_mean_unscaled,subsample_ci_low_unscaled,subsample_ci_high_unscaled
revised-24m,primary,cr1,0.31543875635665297,0.08122766080648303,0.4245951951143855,0.5,99,9800,0.7416169258513073,0.26502690565599224,0.9978775774364806
revised-24m,primary,cr4,0.5950324719225245,0.2600760852134478,0.7159684981746097,0.5,99,9800,0.9462477404243347,0.6415036780400685,0.9998297642858746
revised-24m,primary,top_1pct_share,0.984853078646614,0.964046541146859,0.9924803120216185,0.5,99,9800,0.7416169258513073,0.26502690565599224,0.9978775774364806
revised-24m,primary,hhi,1348.2326246665436,323.5584359039191,2043.7286342404968,0.5,99,9800,6414.566913806827,1381.9951898165366,9957.619930692756
revised-24m,primary,cr1,0.31543875635665297,0.08122766080648303,0.4245951951143855,0.75,985,9800,0.5029168268710398,0.19256731512302644,0.922892895897561
revised-24m,primary,cr4,0.5950324719225245,0.2600760852134478,0.7159684981746097,0.75,985,9800,0.8263361687708515,0.5841899513381551,0.9843855720798094
revised-24m,primary,top_1pct_share,0.984853078646614,0.964046541146859,0.9924803120216185,0.75,985,9800,0.9629980259549964,0.8789378928328241,0.9976746203151167
revised-24m,primary,hhi,1348.2326246665436,323.5584359039191,2043.7286342404968,0.75,985,9800,3533.659079760539,1133.0488328760352,8531.669013897394
revised-24m,primary,cr1,0.31543875635665297,0.08122766080648303,0.4245951951143855,0.9,3910,9800,0.3993635245835174,0.13110581062612445,0.6904448494763661
revised-24m,primary,cr4,0.5950324719225245,0.2600760852134478,0.7159684981746097,0.9,3910,9800,0.6688879517445303,0.40662016736590917,0.8544354929026597
revised-24m,primary,top_1pct_share,0.984853078646614,0.964046541146859,0.9924803120216185,0.9,3910,9800,0.9810021220928631,0.9555173583917991,0.9935262876793154
revised-24m,primary,hhi,1348.2326246665436,323.5584359039191,2043.7286342404968,0.9,3910,9800,2240.202764722567,608.9973354770244,4851.089404536922
revised-30m,robustness,cr1,0.32111938277651453,0.06518919116756502,0.4136524212974757,0.5,104,10734,0.7361465043188476,0.26562560843468824,0.9979970147291685
revised-30m,robustness,cr4,0.5634414754902429,0.20631225270007542,0.6986906334977678,0.5,104,10734,0.9530466451589304,0.631075859194333,0.9998357776485248
revised-30m,robustness,top_1pct_share,0.9811079870496554,0.9575037485979985,0.9906688873128697,0.5,104,10734,0.8866099146562492,0.4401925950977236,0.9993403849313636
revised-30m,robustness,hhi,1302.8126031582074,234.7855434044989,1914.337291978549,0.5,104,10734,6369.892415714182,1351.1479628649524,9959.98576042626
revised-30m,robustness,cr1,0.32111938277651453,0.06518919116756502,0.4136524212974757,0.75,1055,10734,0.4507771184058164,0.18029655009720144,0.9070660673527448
revised-30m,robustness,cr4,0.5634414754902429,0.20631225270007542,0.6986906334977678,0.75,1055,10734,0.7845226597791762,0.5476740092668053,0.9739273160914166
revised-30m,robustness,top_1pct_share,0.9811079870496554,0.9575037485979985,0.9906688873128697,0.75,1055,10734,0.9610320874626754,0.8840369868250948,0.9969913075627271
revised-30m,robustness,hhi,1302.8126031582074,234.7855434044989,1914.337291978549,0.75,1055,10734,3057.3174863970676,1031.0913820716041,8256.417548846815
revised-30m,robustness,cr1,0.32111938277651453,0.06518919116756502,0.4136524212974757,0.9,4244,10734,0.3876665306263485,0.10137216656192967,0.6771485570431026
revised-30m,robustness,cr4,0.5634414754902429,0.20631225270007542,0.6986906334977678,0.9,4244,10734,0.6184161305509224,0.3354435382220749,0.8214388342006668
revised-30m,robustness,top_1pct_share,0.9811079870496554,0.9575037485979985,0.9906688873128697,0.9,4244,10734,0.9767760291814103,0.9482853334954588,0.9916887101713108
revised-30m,robustness,hhi,1302.8126031582074,234.7855434044989,1914.337291978549,0.9,4244,10734,2118.3066662189503,459.6028650315581,4651.704897806493
