window,scope,trade_size_bin,excluded_project,matched_cells,bin_candidate_coverage,reference_candidate_coverage,interpretation
24m,all_projects,02_100_250,,1095,0.9999998123654015,0.9999189730368837,unmatched_strata_excluded_not_imputed
24m,all_projects,03_250_500,,1075,0.9999996446943649,0.9998910314269182,unmatched_strata_excluded_not_imputed
24m,all_projects,04_500_1000,,1064,0.999999564219533,0.9998919022861147,unmatched_strata_excluded_not_imputed
24m,all_projects,05_1000_2500,,1052,0.9999977738765053,0.9998829342892823,unmatched_strata_excluded_not_imputed
24m,all_projects,06_2500_5000,,1043,0.9999903140008376,0.9998590875704324,unmatched_strata_excluded_not_imputed
24m,all_projects,07_5000_10000,,1024,0.9998808464653178,0.9989866904736101,unmatched_strata_excluded_not_imputed
24m,all_projects,08_10000_25000,,1005,0.9996107451669616,0.995226153702683,unmatched_strata_excluded_not_imputed
24m,all_projects,09_25000_50000,,929,0.9991865060220411,0.9875549588584808,unmatched_strata_excluded_not_imputed
24m,all_projects,10_50000_100000,,857,0.9988478927642191,0.9814019680565511,unmatched_strata_excluded_not_imputed
24m,all_projects,11_100000_plus,,800,0.9993872408075751,0.981807214045647,unmatched_strata_excluded_not_imputed
24m,exclude_primary_dominant_project,02_100_250,uniswap,1011,0.9999980498199497,0.9994407359827502,unmatched_strata_excluded_not_imputed
24m,exclude_primary_dominant_project,03_250_500,uniswap,991,0.9999961380507816,0.999247877501613,unmatched_strata_excluded_not_imputed
24m,exclude_primary_dominant_project,04_500_1000,uniswap,980,0.9999955619808211,0.9992538883428687,unmatched_strata_excluded_not_imputed
24m,exclude_primary_dominant_project,05_1000_2500,uniswap,968,0.9999810252210561,0.9991919894669599,unmatched_strata_excluded_not_imputed
24m,exclude_primary_dominant_project,06_2500_5000,uniswap,959,0.9999307685442294,0.999027394728748,unmatched_strata_excluded_not_imputed
24m,exclude_primary_dominant_project,07_5000_10000,uniswap,941,0.9993000950929969,0.9935513904546562,unmatched_strata_excluded_not_imputed
24m,exclude_primary_dominant_project,08_10000_25000,uniswap,922,0.9981676200804787,0.9670833543819353,unmatched_strata_excluded_not_imputed
24m,exclude_primary_dominant_project,09_25000_50000,uniswap,851,0.9969467359486828,0.9190544307253743,unmatched_strata_excluded_not_imputed
24m,exclude_primary_dominant_project,10_50000_100000,uniswap,791,0.9961757019375592,0.8826356387893655,unmatched_strata_excluded_not_imputed
24m,exclude_primary_dominant_project,11_100000_plus,uniswap,729,0.9984121307348952,0.882217181925784,unmatched_strata_excluded_not_imputed
30m,all_projects,02_100_250,,1381,0.9999997472959576,0.9998866696005728,unmatched_strata_excluded_not_imputed
30m,all_projects,03_250_500,,1355,0.9999996691191737,0.9998659402102097,unmatched_strata_excluded_not_imputed
30m,all_projects,04_500_1000,,1340,0.9999994228456285,0.9998290920157201,unmatched_strata_excluded_not_imputed
30m,all_projects,05_1000_2500,,1325,0.9999967437685339,0.9998480939568863,unmatched_strata_excluded_not_imputed
30m,all_projects,06_2500_5000,,1303,0.9999802829808387,0.9992771476670288,unmatched_strata_excluded_not_imputed
30m,all_projects,07_5000_10000,,1276,0.9998446625261718,0.9983052750167246,unmatched_strata_excluded_not_imputed
30m,all_projects,08_10000_25000,,1238,0.9995508506353984,0.9929351099037241,unmatched_strata_excluded_not_imputed
30m,all_projects,09_25000_50000,,1136,0.9992140000041009,0.9845375779079588,unmatched_strata_excluded_not_imputed
30m,all_projects,10_50000_100000,,1048,0.9990038448980715,0.9761719428966608,unmatched_strata_excluded_not_imputed
30m,all_projects,11_100000_plus,,992,0.9994817264727739,0.9783434073628848,unmatched_strata_excluded_not_imputed
30m,exclude_primary_dominant_project,02_100_250,uniswap,1273,0.999997791730029,0.9993116800201679,unmatched_strata_excluded_not_imputed
30m,exclude_primary_dominant_project,03_250_500,uniswap,1247,0.9999970672501536,0.9991857786412892,unmatched_strata_excluded_not_imputed
30m,exclude_primary_dominant_project,04_500_1000,uniswap,1232,0.9999953664264699,0.9989619785963223,unmatched_strata_excluded_not_imputed
30m,exclude_primary_dominant_project,05_1000_2500,uniswap,1217,0.9999765192841154,0.9990773881936278,unmatched_strata_excluded_not_imputed
30m,exclude_primary_dominant_project,06_2500_5000,uniswap,1195,0.9998728303272191,0.9956097066121055,unmatched_strata_excluded_not_imputed
30m,exclude_primary_dominant_project,07_5000_10000,uniswap,1169,0.9991543565038299,0.9900220940665059,unmatched_strata_excluded_not_imputed
30m,exclude_primary_dominant_project,08_10000_25000,uniswap,1134,0.9979891438332428,0.9595818153190798,unmatched_strata_excluded_not_imputed
30m,exclude_primary_dominant_project,09_25000_50000,uniswap,1038,0.9971892330516864,0.9121004450658075,unmatched_strata_excluded_not_imputed
30m,exclude_primary_dominant_project,10_50000_100000,uniswap,964,0.9968850596049278,0.8662422716391702,unmatched_strata_excluded_not_imputed
30m,exclude_primary_dominant_project,11_100000_plus,uniswap,899,0.9987233945606395,0.8744217975480707,unmatched_strata_excluded_not_imputed
