month,project,version,n_bin,a_bin,n_reference,a_reference,rate_bin,rate_reference,difference_pp,overlap_weight,window,scope,trade_size_bin,excluded_project
2024-01,0x-API,v2,222,0,228,0,0.0,0.0,0.0,112.48000000000002,24m,all_projects,02_100_250,
2024-01,0x-API,v4,11086,0,15773,0,0.0,0.0,0.0,6510.275066085855,24m,all_projects,02_100_250,
2024-01,1inch-LOP,2.0,1,0,5,0,0.0,0.0,0.0,0.8333333333333334,24m,all_projects,02_100_250,
2024-01,1inch-LOP,3.0,1387,0,3750,0,0.0,0.0,0.0,1012.5072999805333,24m,all_projects,02_100_250,
2024-01,airswap,swap_erc20_v4,2607,0,3116,0,0.0,0.0,0.0,1419.4324654901277,24m,all_projects,02_100_250,
2024-01,balancer,1,1298,5,1815,0,0.003852080123266564,0.0,0.3852080123266564,756.7844522968198,24m,all_projects,02_100_250,
2024-01,balancer,2,2236,3,2093,2,0.0013416815742397137,0.0009555661729574773,0.03861154012822364,1081.0690690690692,24m,all_projects,02_100_250,
2024-01,bancor,1,741,0,486,0,0.0,0.0,0.0,293.50122249388755,24m,all_projects,02_100_250,
2024-01,bancor,3,16,0,14,0,0.0,0.0,0.0,7.466666666666667,24m,all_projects,02_100_250,
2024-01,carbon_defi,1,25,0,55,0,0.0,0.0,0.0,17.1875,24m,all_projects,02_100_250,
2024-01,clipper,4,454,0,284,0,0.0,0.0,0.0,174.710027100271,24m,all_projects,02_100_250,
2024-01,curve,Factory V1 Meta,162,0,158,1,0.0,0.006329113924050633,-0.6329113924050633,79.98750000000001,24m,all_projects,02_100_250,
2024-01,curve,Factory V1 Plain,244,0,206,0,0.0,0.0,0.0,111.69777777777779,24m,all_projects,02_100_250,
2024-01,curve,Factory V1 Stableswap Plain,85,0,75,0,0.0,0.0,0.0,39.84374999999999,24m,all_projects,02_100_250,
2024-01,curve,Factory V1 Stableswap Plain NG,92,0,81,0,0.0,0.0,0.0,43.07514450867052,24m,all_projects,02_100_250,
2024-01,curve,Factory V2,412,0,307,0,0.0,0.0,0.0,175.9165507649513,24m,all_projects,02_100_250,
2024-01,curve,Factory V2 updated,290,0,280,0,0.0,0.0,0.0,142.4561403508772,24m,all_projects,02_100_250,
2024-01,curve,Regular,819,0,1070,0,0.0,0.0,0.0,463.91212281630493,24m,all_projects,02_100_250,
2024-01,defiswap,1,2133,3,5778,2,0.0014064697609001407,0.00034614053305642093,0.10603292278437196,1557.890784982935,24m,all_projects,02_100_250,
2024-01,dodo,1,113,0,107,0,0.0,0.0,0.0,54.959090909090904,24m,all_projects,02_100_250,
