window,scope,trade_size_bin,excluded_project,month,weighting,matched_projects,matched_cells,standardized_bin_rate_pct,standardized_reference_rate_pct,standardized_difference_pp,pooled_difference_pp,matched_pooled_difference_pp,interpretation
24m,all_projects,02_100_250,,2024-01,overlap_exposure,24,41,1.605806084007657,0.5949012341222493,1.0109048498854079,1.0806521555886912,1.0807052931678611,observed_standardization_no_causal_or_significance_claim
24m,all_projects,02_100_250,,2024-01,equal_project,24,41,0.17396913068349468,0.03822738887190145,0.13574174181159324,1.0806521555886912,1.0807052931678611,observed_standardization_no_causal_or_significance_claim
24m,all_projects,02_100_250,,2024-02,overlap_exposure,22,39,1.0598727643985344,0.5070922668376968,0.5527804975608376,0.5548258480974223,0.55480118711374,observed_standardization_no_causal_or_significance_claim
24m,all_projects,02_100_250,,2024-02,equal_project,22,39,0.07055715962461533,0.03322673732295944,0.03733042230165588,0.5548258480974223,0.55480118711374,observed_standardization_no_causal_or_significance_claim
24m,all_projects,02_100_250,,2024-03,overlap_exposure,21,41,0.3550915442414475,0.20233027596811298,0.15276126827333453,0.15655313356291298,0.15654479145250944,observed_standardization_no_causal_or_significance_claim
24m,all_projects,02_100_250,,2024-03,equal_project,21,41,0.04918741659632988,0.04069695923058126,0.008490457365748617,0.15655313356291298,0.15654479145250944,observed_standardization_no_causal_or_significance_claim
24m,all_projects,02_100_250,,2024-04,overlap_exposure,25,44,1.18482485729265,0.48167610877889083,0.7031487485137592,0.7321329434900541,0.7321254778760125,observed_standardization_no_causal_or_significance_claim
24m,all_projects,02_100_250,,2024-04,equal_project,25,44,0.14435194810916457,0.07302171909965648,0.07133022900950811,0.7321329434900541,0.7321254778760125,observed_standardization_no_causal_or_significance_claim
24m,all_projects,02_100_250,,2024-05,overlap_exposure,24,42,1.9715881021691826,0.7605222790842798,1.2110658230849027,1.2584532113291853,1.2584296774093018,observed_standardization_no_causal_or_significance_claim
24m,all_projects,02_100_250,,2024-05,equal_project,24,42,0.28079741920799983,0.06839686875018232,0.21240055045781753,1.2584532113291853,1.2584296774093018,observed_standardization_no_causal_or_significance_claim
24m,all_projects,02_100_250,,2024-06,overlap_exposure,24,43,1.8097572110966582,0.6037601890875562,1.205997022009102,1.268402455589511,1.2683891936125318,observed_standardization_no_causal_or_significance_claim
24m,all_projects,02_100_250,,2024-06,equal_project,24,43,0.30859792592119195,0.1956526500067752,0.11294527591441676,1.268402455589511,1.2683891936125318,observed_standardization_no_causal_or_significance_claim
24m,all_projects,02_100_250,,2024-07,overlap_exposure,23,42,2.2567626176443123,0.7541664201627248,1.5025961974815871,1.5652716767782497,1.5652539917220245,observed_standardization_no_causal_or_significance_claim
