window,scope,trade_size_bin,excluded_project,month,project,matched_versions,difference_pp,interpretation
24m,all_projects,02_100_250,,2024-01,0x-API,2,0.0,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,1inch-LOP,2,0.0,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,airswap,1,0.0,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,balancer,2,0.21190977622744003,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,bancor,2,0.0,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,carbon_defi,1,0.0,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,clipper,1,0.0,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,curve,7,-0.09041591320072333,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,defiswap,1,0.10603292278437196,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,dodo,2,0.021150592216582064,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,fraxswap,1,0.0,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,integral,1,0.0,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,kyberswap,2,0.0,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,mauve,1,0.0,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,maverick,1,0.13161174865900094,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,origin_arm,1,0.0,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,pancakeswap,3,0.308318515192926,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,shibaswap,1,0.35436096141266804,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,solidly,1,0.0,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,sushiswap,2,0.7618702069348057,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,swaap,1,0.0,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,uniswap,3,0.549348535419841,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,verse_dex,1,0.9036144578313252,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-01,xchange,1,0.0,equal_matched_versions_within_project_month
24m,all_projects,02_100_250,,2024-02,0x-API,2,0.0,equal_matched_versions_within_project_month
