window,scope,trade_size_bin,excluded_project,status
24m,all_projects,02_100_250,,completed
24m,all_projects,03_250_500,,completed
24m,all_projects,04_500_1000,,completed
24m,all_projects,05_1000_2500,,completed
24m,all_projects,06_2500_5000,,completed
24m,all_projects,07_5000_10000,,completed
24m,all_projects,08_10000_25000,,completed
24m,all_projects,09_25000_50000,,completed
24m,all_projects,10_50000_100000,,completed
24m,all_projects,11_100000_plus,,completed
24m,exclude_primary_dominant_project,02_100_250,uniswap,completed
24m,exclude_primary_dominant_project,03_250_500,uniswap,completed
24m,exclude_primary_dominant_project,04_500_1000,uniswap,completed
24m,exclude_primary_dominant_project,05_1000_2500,uniswap,completed
24m,exclude_primary_dominant_project,06_2500_5000,uniswap,completed
24m,exclude_primary_dominant_project,07_5000_10000,uniswap,completed
24m,exclude_primary_dominant_project,08_10000_25000,uniswap,completed
24m,exclude_primary_dominant_project,09_25000_50000,uniswap,completed
24m,exclude_primary_dominant_project,10_50000_100000,uniswap,completed
24m,exclude_primary_dominant_project,11_100000_plus,uniswap,completed
30m,all_projects,02_100_250,,completed
30m,all_projects,03_250_500,,completed
30m,all_projects,04_500_1000,,completed
30m,all_projects,05_1000_2500,,completed
30m,all_projects,06_2500_5000,,completed
30m,all_projects,07_5000_10000,,completed
30m,all_projects,08_10000_25000,,completed
30m,all_projects,09_25000_50000,,completed
30m,all_projects,10_50000_100000,,completed
30m,all_projects,11_100000_plus,,completed
30m,exclude_primary_dominant_project,02_100_250,uniswap,completed
30m,exclude_primary_dominant_project,03_250_500,uniswap,completed
30m,exclude_primary_dominant_project,04_500_1000,uniswap,completed
30m,exclude_primary_dominant_project,05_1000_2500,uniswap,completed
30m,exclude_primary_dominant_project,06_2500_5000,uniswap,completed
30m,exclude_primary_dominant_project,07_5000_10000,uniswap,completed
30m,exclude_primary_dominant_project,08_10000_25000,uniswap,completed
30m,exclude_primary_dominant_project,09_25000_50000,uniswap,completed
30m,exclude_primary_dominant_project,10_50000_100000,uniswap,completed
30m,exclude_primary_dominant_project,11_100000_plus,uniswap,completed
