window,scope,trade_size_bin,weighting,excluded_project,months,mean_standardized_bin_rate_pct,mean_standardized_reference_rate_pct,equal_month_standardized_difference_pp,equal_month_pooled_difference_pp,equal_month_matched_pooled_difference_pp,months_positive,months_negative,months_zero,observed_month_min_pp,observed_month_max_pp,inference_status
24m,all_projects,02_100_250,equal_project,,24,0.34816557215802363,0.12348541137140571,0.2246801607866179,0.7868048569926133,0.786790248921594,24,0,0,0.008490457365748617,1.184919382873559,descriptive_sensitivity_not_a_hypothesis_test
24m,all_projects,02_100_250,overlap_exposure,,24,1.2544159557200436,0.49263424553043156,0.7617817101896122,0.7868048569926133,0.786790248921594,24,0,0,0.15276126827333453,1.5025961974815871,descriptive_sensitivity_not_a_hypothesis_test
24m,all_projects,03_250_500,equal_project,,24,0.5353951938423115,0.11758893016788326,0.41780626367442825,1.3675574806055668,1.3675380225546174,24,0,0,0.13556191029663878,0.8850733582503425,descriptive_sensitivity_not_a_hypothesis_test
24m,all_projects,03_250_500,overlap_exposure,,24,1.8455062543471605,0.4891327995391204,1.3563734548080404,1.3675574806055668,1.3675380225546174,24,0,0,0.4616057970466007,3.0056036801328565,descriptive_sensitivity_not_a_hypothesis_test
24m,all_projects,04_500_1000,equal_project,,24,0.7677937048614307,0.1147541203355386,0.6530395845258921,1.8043860319875353,1.804365807680376,24,0,0,0.1825897448316092,1.0562090298631674,descriptive_sensitivity_not_a_hypothesis_test
24m,all_projects,04_500_1000,overlap_exposure,,24,2.3190518656461854,0.480459220771471,1.8385926448747145,1.8043860319875353,1.804365807680376,24,0,0,0.34676551069916745,4.203674647194661,descriptive_sensitivity_not_a_hypothesis_test
24m,all_projects,05_1000_2500,equal_project,,24,1.0340214719563998,0.1527430802245722,0.8812783917318274,2.0393970506636117,2.0393765813043836,23,1,0,-0.48955395889387676,1.8034532121020252,descriptive_sensitivity_not_a_hypothesis_test
24m,all_projects,05_1000_2500,overlap_exposure,,24,2.6493248600081087,0.46837530878600586,2.1809495512221027,2.0393970506636117,2.0393765813043836,24,0,0,0.308332342427011,5.422759499441829,descriptive_sensitivity_not_a_hypothesis_test
24m,all_projects,06_2500_5000,equal_project,,24,1.3582751868106007,0.11481350782955636,1.2434616789810444,2.2658087497191346,2.2658083073342308,24,0,0,0.37434176629859106,4.722713792614512,descriptive_sensitivity_not_a_hypothesis_test
24m,all_projects,06_2500_5000,overlap_exposure,,24,2.9711892753978764,0.4373215431630893,2.533867732234787,2.2658087497191346,2.2658083073342308,24,0,0,0.3436732440848093,6.120596127571217,descriptive_sensitivity_not_a_hypothesis_test
24m,all_projects,07_5000_10000,equal_project,,24,1.3998711058184572,0.11745034713862033,1.2824207586798366,2.2525908109890804,2.2525575351794327,24,0,0,0.18735996060785387,3.3391924570632647,descriptive_sensitivity_not_a_hypothesis_test
24m,all_projects,07_5000_10000,overlap_exposure,,24,3.057958213956764,0.39349521975452645,2.664462994202237,2.2525908109890804,2.2525575351794327,24,0,0,0.30772956913192623,6.795570985706377,descriptive_sensitivity_not_a_hypothesis_test
24m,all_projects,08_10000_25000,equal_project,,24,1.3498148986179748,0.11643800355130292,1.233376895066672,1.908378173989835,1.9078073365342405,24,0,0,0.08817139327916236,2.307418226847243,descriptive_sensitivity_not_a_hypothesis_test
24m,all_projects,08_10000_25000,overlap_exposure,,24,2.765336403364517,0.34770316745638574,2.417633235908131,1.908378173989835,1.9078073365342405,24,0,0,0.1200039831491302,6.485439555280749,descriptive_sensitivity_not_a_hypothesis_test
24m,all_projects,09_25000_50000,equal_project,,24,1.2435401769870336,0.1140245274094077,1.129515649577626,1.3483774872386103,1.3459449843046638,24,0,0,0.0537420367660539,3.332948577437142,descriptive_sensitivity_not_a_hypothesis_test
24m,all_projects,09_25000_50000,overlap_exposure,,24,2.04646494474383,0.2932053750013376,1.7532595697424922,1.3483774872386103,1.3459449843046638,24,0,0,0.05856591043826263,5.559255057804005,descriptive_sensitivity_not_a_hypothesis_test
