window,scope,trade_size_bin,project,months,mean_difference_pp,months_positive,months_negative,months_zero
24m,all_projects,02_100_250,0x API,15,-0.0005395191150269041,0,3,12
24m,all_projects,02_100_250,0x-API,24,0.0,0,0,24
24m,all_projects,02_100_250,1inch-LOP,24,0.0,0,0,24
24m,all_projects,02_100_250,airswap,21,0.0,0,0,21
24m,all_projects,02_100_250,balancer,24,0.15745590119136368,22,2,0
24m,all_projects,02_100_250,bancor,24,0.02062131812030348,11,0,13
24m,all_projects,02_100_250,carbon_defi,24,0.0,0,0,24
24m,all_projects,02_100_250,clipper,24,0.0,0,0,24
24m,all_projects,02_100_250,curve,24,0.035873719532061844,18,6,0
24m,all_projects,02_100_250,defiswap,24,0.10299506221987738,17,5,2
24m,all_projects,02_100_250,dfx,8,0.0,0,0,8
24m,all_projects,02_100_250,dodo,24,0.610141396429111,23,0,1
24m,all_projects,02_100_250,ekubo,10,0.4295460819746772,8,1,1
24m,all_projects,02_100_250,eulerswap,6,0.0,0,0,6
24m,all_projects,02_100_250,fluid,14,-0.0020349026522727344,0,2,12
24m,all_projects,02_100_250,fraxswap,24,0.13424901998914388,9,1,14
24m,all_projects,02_100_250,integral,17,0.0,0,0,17
24m,all_projects,02_100_250,kyberswap,24,0.13326526836559313,4,3,17
24m,all_projects,02_100_250,mauve,1,0.0,0,0,1
24m,all_projects,02_100_250,maverick,24,0.20191240684080905,15,7,2
24m,all_projects,02_100_250,native,8,0.0,0,0,8
24m,all_projects,02_100_250,origin_arm,24,0.0,0,0,24
24m,all_projects,02_100_250,pancakeswap,24,0.12820483333016827,16,8,0
24m,all_projects,02_100_250,shibaswap,24,1.0510281701529802,23,1,0
24m,all_projects,02_100_250,solidly,24,0.4731689830276677,14,8,2
24m,all_projects,02_100_250,sushiswap,24,0.38744176718754947,23,1,0
24m,all_projects,02_100_250,swaap,22,0.0,0,0,22
24m,all_projects,02_100_250,swapr,14,1.1254698814558497,1,4,9
24m,all_projects,02_100_250,uniswap,24,0.4914254171343488,24,0,0
24m,all_projects,02_100_250,valantis,13,0.0,0,0,13
