window,scope,trade_size_bin,weighting,calendar_half,months,mean_difference_pp,months_positive,months_negative
24m,all_projects,02_100_250,equal_project,2024-H1,6,0.09637311281012335,6,0
24m,all_projects,02_100_250,equal_project,2024-H2,6,0.4025202149098464,6,0
24m,all_projects,02_100_250,equal_project,2025-H1,6,0.23676083114866933,6,0
24m,all_projects,02_100_250,equal_project,2025-H2,6,0.16306648427783252,6,0
24m,all_projects,02_100_250,overlap_exposure,2024-H1,6,0.8061097015545573,6,0
24m,all_projects,02_100_250,overlap_exposure,2024-H2,6,0.8830525028684555,6,0
24m,all_projects,02_100_250,overlap_exposure,2025-H1,6,0.7085019127119382,6,0
24m,all_projects,02_100_250,overlap_exposure,2025-H2,6,0.6494627236234977,6,0
24m,all_projects,03_250_500,equal_project,2024-H1,6,0.4086987243990381,6,0
24m,all_projects,03_250_500,equal_project,2024-H2,6,0.584817813543138,6,0
24m,all_projects,03_250_500,equal_project,2025-H1,6,0.3626973915910913,6,0
24m,all_projects,03_250_500,equal_project,2025-H2,6,0.3150111251644458,6,0
24m,all_projects,03_250_500,overlap_exposure,2024-H1,6,1.7580484199801438,6,0
24m,all_projects,03_250_500,overlap_exposure,2024-H2,6,1.6967193854735978,6,0
24m,all_projects,03_250_500,overlap_exposure,2025-H1,6,1.089084715021918,6,0
24m,all_projects,03_250_500,overlap_exposure,2025-H2,6,0.8816412987565009,6,0
24m,all_projects,04_500_1000,equal_project,2024-H1,6,0.7338370883042865,6,0
24m,all_projects,04_500_1000,equal_project,2024-H2,6,0.7664565899803059,6,0
24m,all_projects,04_500_1000,equal_project,2025-H1,6,0.6278585604747421,6,0
24m,all_projects,04_500_1000,equal_project,2025-H2,6,0.4840060993442335,6,0
24m,all_projects,04_500_1000,overlap_exposure,2024-H1,6,2.7191471823369047,6,0
24m,all_projects,04_500_1000,overlap_exposure,2024-H2,6,2.493217729794514,6,0
24m,all_projects,04_500_1000,overlap_exposure,2025-H1,6,1.3016747950725642,6,0
24m,all_projects,04_500_1000,overlap_exposure,2025-H2,6,0.8403308722948742,6,0
24m,all_projects,05_1000_2500,equal_project,2024-H1,6,1.1503561870322019,6,0
24m,all_projects,05_1000_2500,equal_project,2024-H2,6,0.8790673303539642,6,0
24m,all_projects,05_1000_2500,equal_project,2025-H1,6,1.030337205895959,6,0
24m,all_projects,05_1000_2500,equal_project,2025-H2,6,0.46535284364518503,5,1
24m,all_projects,05_1000_2500,overlap_exposure,2024-H1,6,3.9188462763631216,6,0
24m,all_projects,05_1000_2500,overlap_exposure,2024-H2,6,3.0930566122164707,6,0
24m,all_projects,05_1000_2500,overlap_exposure,2025-H1,6,1.1641802832909711,6,0
24m,all_projects,05_1000_2500,overlap_exposure,2025-H2,6,0.5477150330178475,6,0
24m,all_projects,06_2500_5000,equal_project,2024-H1,6,1.843532318646779,6,0
24m,all_projects,06_2500_5000,equal_project,2024-H2,6,0.9259437415899479,6,0
24m,all_projects,06_2500_5000,equal_project,2025-H1,6,1.4596848998585512,6,0
