window,scope,trade_size_bin,weighting,observed_sign_reversals,months_positive,months_negative,months_zero
24m,all_projects,02_100_250,equal_project,0,24,0,0
24m,all_projects,02_100_250,overlap_exposure,0,24,0,0
24m,all_projects,03_250_500,equal_project,0,24,0,0
24m,all_projects,03_250_500,overlap_exposure,0,24,0,0
24m,all_projects,04_500_1000,equal_project,0,24,0,0
24m,all_projects,04_500_1000,overlap_exposure,0,24,0,0
24m,all_projects,05_1000_2500,equal_project,1,23,1,0
24m,all_projects,05_1000_2500,overlap_exposure,0,24,0,0
24m,all_projects,06_2500_5000,equal_project,0,24,0,0
24m,all_projects,06_2500_5000,overlap_exposure,0,24,0,0
24m,all_projects,07_5000_10000,equal_project,0,24,0,0
24m,all_projects,07_5000_10000,overlap_exposure,0,24,0,0
24m,all_projects,08_10000_25000,equal_project,0,24,0,0
24m,all_projects,08_10000_25000,overlap_exposure,0,24,0,0
24m,all_projects,09_25000_50000,equal_project,0,24,0,0
24m,all_projects,09_25000_50000,overlap_exposure,0,24,0,0
24m,all_projects,10_50000_100000,equal_project,0,24,0,0
24m,all_projects,10_50000_100000,overlap_exposure,0,24,0,0
24m,all_projects,11_100000_plus,equal_project,0,24,0,0
24m,all_projects,11_100000_plus,overlap_exposure,0,24,0,0
24m,exclude_primary_dominant_project,02_100_250,equal_project,0,24,0,0
24m,exclude_primary_dominant_project,02_100_250,overlap_exposure,2,23,1,0
24m,exclude_primary_dominant_project,03_250_500,equal_project,0,24,0,0
24m,exclude_primary_dominant_project,03_250_500,overlap_exposure,0,24,0,0
24m,exclude_primary_dominant_project,04_500_1000,equal_project,0,24,0,0
24m,exclude_primary_dominant_project,04_500_1000,overlap_exposure,0,24,0,0
24m,exclude_primary_dominant_project,05_1000_2500,equal_project,1,23,1,0
24m,exclude_primary_dominant_project,05_1000_2500,overlap_exposure,0,24,0,0
24m,exclude_primary_dominant_project,06_2500_5000,equal_project,0,24,0,0
24m,exclude_primary_dominant_project,06_2500_5000,overlap_exposure,0,24,0,0
24m,exclude_primary_dominant_project,07_5000_10000,equal_project,0,24,0,0
24m,exclude_primary_dominant_project,07_5000_10000,overlap_exposure,0,24,0,0
24m,exclude_primary_dominant_project,08_10000_25000,equal_project,0,24,0,0
24m,exclude_primary_dominant_project,08_10000_25000,overlap_exposure,0,24,0,0
24m,exclude_primary_dominant_project,09_25000_50000,equal_project,0,24,0,0
24m,exclude_primary_dominant_project,09_25000_50000,overlap_exposure,0,24,0,0
24m,exclude_primary_dominant_project,10_50000_100000,equal_project,1,23,1,0
24m,exclude_primary_dominant_project,10_50000_100000,overlap_exposure,0,24,0,0
24m,exclude_primary_dominant_project,11_100000_plus,equal_project,0,24,0,0
24m,exclude_primary_dominant_project,11_100000_plus,overlap_exposure,1,23,1,0
30m,all_projects,02_100_250,equal_project,0,30,0,0
30m,all_projects,02_100_250,overlap_exposure,0,30,0,0
30m,all_projects,03_250_500,equal_project,2,28,2,0
30m,all_projects,03_250_500,overlap_exposure,0,30,0,0
30m,all_projects,04_500_1000,equal_project,0,30,0,0
30m,all_projects,04_500_1000,overlap_exposure,2,29,1,0
30m,all_projects,05_1000_2500,equal_project,4,28,2,0
30m,all_projects,05_1000_2500,overlap_exposure,2,29,1,0
30m,all_projects,06_2500_5000,equal_project,2,29,1,0
30m,all_projects,06_2500_5000,overlap_exposure,2,29,1,0
30m,all_projects,07_5000_10000,equal_project,0,30,0,0
30m,all_projects,07_5000_10000,overlap_exposure,2,29,1,0
30m,all_projects,08_10000_25000,equal_project,2,29,1,0
30m,all_projects,08_10000_25000,overlap_exposure,4,28,2,0
30m,all_projects,09_25000_50000,equal_project,3,28,2,0
30m,all_projects,09_25000_50000,overlap_exposure,0,30,0,0
30m,all_projects,10_50000_100000,equal_project,5,27,3,0
30m,all_projects,10_50000_100000,overlap_exposure,2,29,1,0
30m,all_projects,11_100000_plus,equal_project,1,28,2,0
30m,all_projects,11_100000_plus,overlap_exposure,2,29,1,0
30m,exclude_primary_dominant_project,02_100_250,equal_project,0,30,0,0
30m,exclude_primary_dominant_project,02_100_250,overlap_exposure,2,29,1,0
30m,exclude_primary_dominant_project,03_250_500,equal_project,2,28,2,0
30m,exclude_primary_dominant_project,03_250_500,overlap_exposure,0,30,0,0
30m,exclude_primary_dominant_project,04_500_1000,equal_project,0,30,0,0
30m,exclude_primary_dominant_project,04_500_1000,overlap_exposure,2,29,1,0
30m,exclude_primary_dominant_project,05_1000_2500,equal_project,4,28,2,0
30m,exclude_primary_dominant_project,05_1000_2500,overlap_exposure,2,29,1,0
30m,exclude_primary_dominant_project,06_2500_5000,equal_project,2,29,1,0
30m,exclude_primary_dominant_project,06_2500_5000,overlap_exposure,0,30,0,0
30m,exclude_primary_dominant_project,07_5000_10000,equal_project,0,30,0,0
30m,exclude_primary_dominant_project,07_5000_10000,overlap_exposure,2,29,1,0
30m,exclude_primary_dominant_project,08_10000_25000,equal_project,2,29,1,0
30m,exclude_primary_dominant_project,08_10000_25000,overlap_exposure,2,29,1,0
30m,exclude_primary_dominant_project,09_25000_50000,equal_project,3,28,2,0
30m,exclude_primary_dominant_project,09_25000_50000,overlap_exposure,0,30,0,0
30m,exclude_primary_dominant_project,10_50000_100000,equal_project,5,26,4,0
30m,exclude_primary_dominant_project,10_50000_100000,overlap_exposure,4,27,3,0
30m,exclude_primary_dominant_project,11_100000_plus,equal_project,1,28,2,0
30m,exclude_primary_dominant_project,11_100000_plus,overlap_exposure,4,26,4,0
