window,scope,trade_size_bin,projects,positive_projects,negative_projects,zero_projects,median_project_difference_pp,min_project_difference_pp,max_project_difference_pp,min_observed_months,max_observed_months,largest_share_of_positive_project_mean_differences,interpretation
24m,all_projects,02_100_250,32,17,2,13,0.028247518826182663,-0.0020349026522727344,1.1254698814558497,1,24,0.16951970242089362,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,all_projects,03_250_500,31,17,2,12,0.032455614813974513,-0.6451612903225806,2.040694079823259,5,24,0.1812497598812629,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,all_projects,04_500_1000,31,16,2,13,0.028489931091572582,-0.009425842139019801,3.0517573514396052,3,24,0.17549652671006713,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,all_projects,05_1000_2500,32,16,3,13,0.0007645825472858402,-25.0,4.476683067158814,1,24,0.1752740550001967,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,all_projects,06_2500_5000,31,16,2,13,0.0024764359187323024,-0.10957235922849766,8.236434108527131,1,24,0.22816837170136034,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,all_projects,07_5000_10000,31,16,2,13,0.003126576884847957,-0.08567234570549255,8.139534883720929,1,24,0.21141862833289482,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,all_projects,08_10000_25000,31,15,3,13,0.0,-0.425853216550891,5.5817478428503335,2,24,0.17689872187448058,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,all_projects,09_25000_50000,31,14,3,14,0.0,-0.18043544473816037,5.7031107952116775,2,24,0.20596328660494595,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,all_projects,10_50000_100000,31,12,5,14,0.0,-2.5423728813559325,7.546726425679247,1,24,0.2480275318478859,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,all_projects,11_100000_plus,30,13,4,13,0.0,-0.17543859649122806,21.277978750981063,1,24,0.372605744267658,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,exclude_primary_dominant_project,02_100_250,31,16,2,13,0.02062131812030348,-0.0020349026522727344,1.1254698814558497,1,24,0.1830704133584734,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,exclude_primary_dominant_project,03_250_500,30,16,2,12,0.017892812538547985,-0.6451612903225806,2.040694079823259,5,24,0.19515416431516258,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,exclude_primary_dominant_project,04_500_1000,30,15,2,13,0.014244965545786291,-0.009425842139019801,3.0517573514396052,3,24,0.18694157182310103,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,exclude_primary_dominant_project,05_1000_2500,31,15,3,13,0.0,-25.0,4.476683067158814,1,24,0.18485777641177123,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,exclude_primary_dominant_project,06_2500_5000,30,15,2,13,0.0012382179593661512,-0.10957235922849766,8.236434108527131,1,24,0.2398304979113517,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,exclude_primary_dominant_project,07_5000_10000,30,15,2,13,0.0015632884424239784,-0.08567234570549255,8.139534883720929,1,24,0.226691338105758,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,exclude_primary_dominant_project,08_10000_25000,30,14,3,13,0.0,-0.425853216550891,5.5817478428503335,2,24,0.20299609707558133,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,exclude_primary_dominant_project,09_25000_50000,30,13,3,14,0.0,-0.18043544473816037,5.7031107952116775,2,24,0.23018035043099688,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
