window,trade_size_bin,weighting,months,observed_mean_difference_pp,half_width_pp,lower_bound_pp,upper_bound_pp,zero_in_interval,family_intervals,family_alpha,target,dependence,confidence_scope,interpretation
24m,02_100_250,equal_project,24,0.22468016078661793,78.41002756996855,-78.18534740918193,78.63470773075517,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
24m,02_100_250,overlap_exposure,24,0.7617817101896123,78.41002756996855,-77.64824585977892,79.17180928015816,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
24m,03_250_500,equal_project,24,0.4178062636744283,78.41002756996855,-77.99222130629411,78.82783383364297,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
24m,03_250_500,overlap_exposure,24,1.3563734548080402,78.41002756996855,-77.05365411516051,79.76640102477658,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
24m,04_500_1000,equal_project,24,0.653039584525892,78.41002756996855,-77.75698798544265,79.06306715449443,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
24m,04_500_1000,overlap_exposure,24,1.8385926448747143,78.41002756996855,-76.57143492509383,80.24862021484326,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
24m,05_1000_2500,equal_project,24,0.8812783917318274,78.41002756996855,-77.52874917823671,79.29130596170037,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
24m,05_1000_2500,overlap_exposure,24,2.1809495512221027,78.41002756996855,-76.22907801874645,80.59097712119065,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
24m,06_2500_5000,equal_project,24,1.2434616789810444,78.41002756996855,-77.1665658909875,79.65348924894958,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
24m,06_2500_5000,overlap_exposure,24,2.533867732234787,78.41002756996855,-75.87615983773375,80.94389530220333,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
24m,07_5000_10000,equal_project,24,1.2824207586798366,78.41002756996855,-77.1276068112887,79.69244832864838,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
24m,07_5000_10000,overlap_exposure,24,2.664462994202237,78.41002756996855,-75.74556457576631,81.07449056417077,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
