window,trade_size_bin,weighting,status
24m,02_100_250,equal_project,completed
24m,02_100_250,overlap_exposure,completed
24m,03_250_500,equal_project,completed
24m,03_250_500,overlap_exposure,completed
24m,04_500_1000,equal_project,completed
24m,04_500_1000,overlap_exposure,completed
24m,05_1000_2500,equal_project,completed
24m,05_1000_2500,overlap_exposure,completed
24m,06_2500_5000,equal_project,completed
24m,06_2500_5000,overlap_exposure,completed
24m,07_5000_10000,equal_project,completed
24m,07_5000_10000,overlap_exposure,completed
24m,08_10000_25000,equal_project,completed
24m,08_10000_25000,overlap_exposure,completed
24m,09_25000_50000,equal_project,completed
24m,09_25000_50000,overlap_exposure,completed
24m,10_50000_100000,equal_project,completed
24m,10_50000_100000,overlap_exposure,completed
24m,11_100000_plus,equal_project,completed
24m,11_100000_plus,overlap_exposure,completed
30m,02_100_250,equal_project,completed
30m,02_100_250,overlap_exposure,completed
30m,03_250_500,equal_project,completed
30m,03_250_500,overlap_exposure,completed
30m,04_500_1000,equal_project,completed
30m,04_500_1000,overlap_exposure,completed
30m,05_1000_2500,equal_project,completed
30m,05_1000_2500,overlap_exposure,completed
30m,06_2500_5000,equal_project,completed
30m,06_2500_5000,overlap_exposure,completed
30m,07_5000_10000,equal_project,completed
30m,07_5000_10000,overlap_exposure,completed
30m,08_10000_25000,equal_project,completed
30m,08_10000_25000,overlap_exposure,completed
30m,09_25000_50000,equal_project,completed
30m,09_25000_50000,overlap_exposure,completed
30m,10_50000_100000,equal_project,completed
30m,10_50000_100000,overlap_exposure,completed
30m,11_100000_plus,equal_project,completed
30m,11_100000_plus,overlap_exposure,completed
