metric,value,window,interpretation
sandwiched_dust_volume_usd,1512.838822786831,24m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_rows_all,3756141.0,24m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_rows_dust_lt_1usd,4021.0,24m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_rows_gt0_usd,3753857.0,24m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_rows_null_taker,0.0,24m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_rows_null_usd,2197.0,24m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_rows_zero_usd,87.0,24m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_unique_takers_all,330758.0,24m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_unique_takers_gt0_usd,330521.0,24m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiches_rows_all,7205506.0,24m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiches_rows_dust_lt_1usd,22472.0,24m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiches_rows_null_usd,4089.0,24m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiches_rows_zero_usd,445.0,24m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiches_unique_takers,9917.0,24m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_dust_volume_usd,3380.563558,30m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_rows_all,4289528.0,30m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_rows_dust_lt_1usd,8639.0,30m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_rows_gt0_usd,4286398.0,30m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_rows_null_taker,0.0,30m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_rows_null_usd,2876.0,30m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_rows_zero_usd,254.0,30m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_unique_takers_all,385636.0,30m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiched_unique_takers_gt0_usd,385316.0,30m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiches_rows_all,8219961.0,30m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiches_rows_dust_lt_1usd,35354.0,30m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiches_rows_null_usd,5340.0,30m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiches_rows_zero_usd,727.0,30m,exported_coverage_metric_not_detection_accuracy_or_information_status
sandwiches_unique_takers,10874.0,30m,exported_coverage_metric_not_detection_accuracy_or_information_status
