window,population,metric,count,denominator_rows,share_pct,interpretation
24m,sandwiched,null_usd,2197.0,3756141.0,0.058490881998306245,separate_categories_do_not_add_dust_and_zero_shares
24m,sandwiched,zero_usd,87.0,3756141.0,0.002316206979450452,separate_categories_do_not_add_dust_and_zero_shares
24m,sandwiched,dust_lt_1usd,4021.0,3756141.0,0.10705135936057777,separate_categories_do_not_add_dust_and_zero_shares
24m,sandwiches,null_usd,4089.0,7205506.0,0.056748270003522304,separate_categories_do_not_add_dust_and_zero_shares
24m,sandwiches,zero_usd,445.0,7205506.0,0.006175832759004018,separate_categories_do_not_add_dust_and_zero_shares
24m,sandwiches,dust_lt_1usd,22472.0,7205506.0,0.3118726151917714,separate_categories_do_not_add_dust_and_zero_shares
30m,sandwiched,null_usd,2876.0,4289528.0,0.06704700377290929,separate_categories_do_not_add_dust_and_zero_shares
30m,sandwiched,zero_usd,254.0,4289528.0,0.005921397412489206,separate_categories_do_not_add_dust_and_zero_shares
30m,sandwiched,dust_lt_1usd,8639.0,4289528.0,0.20139744978934748,separate_categories_do_not_add_dust_and_zero_shares
30m,sandwiches,null_usd,5340.0,8219961.0,0.06496381187210012,separate_categories_do_not_add_dust_and_zero_shares
30m,sandwiches,zero_usd,727.0,8219961.0,0.008844324200564942,separate_categories_do_not_add_dust_and_zero_shares
30m,sandwiches,dust_lt_1usd,35354.0,8219961.0,0.4300993642183947,separate_categories_do_not_add_dust_and_zero_shares
