trade_size_bin,candidate_trades,attacked_trades,unattacked_trades,candidate_volume_usd,attacked_volume_usd,attack_rate,attack_rate_pct,interval_scope,sample,trade_size
01_<100,53969689,267474,53702215,2014300562.2053287,14451677.204572456,0.004956004100746254,0.4956004100746254,none; observed rates only; independent-trial Wilson intervals omitted,24m,<$100
02_100_250,31977045,420839,31556206,5306625826.683448,72675931.67712927,0.013160659466814398,1.3160659466814397,none; observed rates only; independent-trial Wilson intervals omitted,24m,$100–250
03_250_500,28144783,534832,27609951,10223229318.193125,198513100.41782403,0.019002882345904033,1.9002882345904033,none; observed rates only; independent-trial Wilson intervals omitted,24m,$250–500
04_500_1000,27536801,643200,26893601,19824256056.322525,473008375.70832247,0.023357833032239293,2.3357833032239292,none; observed rates only; independent-trial Wilson intervals omitted,24m,$500–1k
05_1000_2500,30995585,785620,30209965,49465686889.422264,1256154714.7945669,0.025346190433250412,2.534619043325041,none; observed rates only; independent-trial Wilson intervals omitted,24m,$1k–2.5k
06_2500_5000,17138139,467033,16671106,60714374163.1329,1670407227.1951034,0.027251091848420648,2.725109184842065,none; observed rates only; independent-trial Wilson intervals omitted,24m,$2.5k–5k
07_5000_10000,11489378,308317,11181061,80731978246.56178,2180450843.967616,0.02683496008226033,2.683496008226033,none; observed rates only; independent-trial Wilson intervals omitted,24m,$5k–10k
08_10000_25000,8768035,202685,8565350,135985981599.86917,3072919787.847869,0.023116353892291715,2.3116353892291714,none; observed rates only; independent-trial Wilson intervals omitted,24m,$10k–25k
09_25000_50000,3751718,63833,3687885,132343614300.66444,2219489126.7483296,0.01701433849772291,1.701433849772291,none; observed rates only; independent-trial Wilson intervals omitted,24m,$25k–50k
10_50000_100000,2338324,27424,2310900,164478656910.65082,1918259774.9101756,0.011728058216055602,1.1728058216055601,none; observed rates only; independent-trial Wilson intervals omitted,24m,$50k–100k
11_100000_plus,2651939,32600,2619339,1195451498072.4353,14447231093.186945,0.012292892106492646,1.2292892106492646,none; observed rates only; independent-trial Wilson intervals omitted,24m,≥$100k
01_<100,82202128,446697,81755431,2922309552.985473,22326189.016600873,0.005434129393827858,0.5434129393827858,none; observed rates only; independent-trial Wilson intervals omitted,30m,<$100
02_100_250,43529181,539446,42989735,7218312617.785816,92416070.1326011,0.012392744076668936,1.2392744076668936,none; observed rates only; independent-trial Wilson intervals omitted,30m,$100–250
03_250_500,36266834,609552,35657282,13164689372.886845,225971579.92307764,0.016807422451047146,1.6807422451047147,none; observed rates only; independent-trial Wilson intervals omitted,30m,$250–500
04_500_1000,34652774,706005,33946769,24918983529.442997,519627662.39007384,0.020373693603865595,2.0373693603865597,none; observed rates only; independent-trial Wilson intervals omitted,30m,$500–1k
05_1000_2500,37466624,832905,36633719,59629447444.662605,1331092252.0314665,0.02223058581419025,2.223058581419025,none; observed rates only; independent-trial Wilson intervals omitted,30m,$1k–2.5k
06_2500_5000,20185607,487321,19698286,71533141885.8906,1742377601.2396293,0.024142003755448126,2.4142003755448127,none; observed rates only; independent-trial Wilson intervals omitted,30m,$2.5k–5k
07_5000_10000,13422389,319700,13102689,94313113384.72366,2261868572.833519,0.023818412653663964,2.3818412653663965,none; observed rates only; independent-trial Wilson intervals omitted,30m,$5k–10k
08_10000_25000,10205959,209731,9996228,158379916316.65018,3184220486.0330143,0.020549857196173332,2.054985719617333,none; observed rates only; independent-trial Wilson intervals omitted,30m,$10k–25k
09_25000_50000,4389313,67551,4321762,155034829217.22348,2355827363.8109946,0.015389879919704974,1.5389879919704974,none; observed rates only; independent-trial Wilson intervals omitted,30m,$25k–50k
10_50000_100000,2762622,30321,2732301,194879406714.92923,2130792122.546927,0.010975442894467648,1.0975442894467649,none; observed rates only; independent-trial Wilson intervals omitted,30m,$50k–100k
11_100000_plus,3135410,37169,3098241,1393141102946.0994,16503150040.254007,0.011854589989825892,1.1854589989825892,none; observed rates only; independent-trial Wilson intervals omitted,30m,≥$100k
01_<100,28232439,179223,28053216,908008990.7801447,7874511.812028416,0.006348123164279218,0.6348123164279218,none; observed rates only; independent-trial Wilson intervals omitted,previously_seen_nonoverlap_extension,<$100
02_100_250,11552136,118607,11433529,1911686791.1023679,19740138.455471817,0.010267105581166981,1.0267105581166982,none; observed rates only; independent-trial Wilson intervals omitted,previously_seen_nonoverlap_extension,$100–250
03_250_500,8122051,74720,8047331,2941460054.6937184,27458479.505253583,0.00919964673947504,0.919964673947504,none; observed rates only; independent-trial Wilson intervals omitted,previously_seen_nonoverlap_extension,$250–500
04_500_1000,7115973,62805,7053168,5094727473.120469,46619286.68175141,0.00882591881672401,0.882591881672401,none; observed rates only; independent-trial Wilson intervals omitted,previously_seen_nonoverlap_extension,$500–1k
05_1000_2500,6471039,47285,6423754,10163760555.240343,74937537.23689944,0.007307172773954847,0.7307172773954848,none; observed rates only; independent-trial Wilson intervals omitted,previously_seen_nonoverlap_extension,$1k–2.5k
06_2500_5000,3047468,20288,3027180,10818767722.75768,71970374.04452588,0.006657329953915841,0.6657329953915841,none; observed rates only; independent-trial Wilson intervals omitted,previously_seen_nonoverlap_extension,$2.5k–5k
07_5000_10000,1933011,11383,1921628,13581135138.161884,81417728.86590286,0.005888740415858989,0.5888740415858988,none; observed rates only; independent-trial Wilson intervals omitted,previously_seen_nonoverlap_extension,$5k–10k
08_10000_25000,1437924,7046,1430878,22393934716.78101,111300698.18514532,0.004900119895070949,0.4900119895070949,none; observed rates only; independent-trial Wilson intervals omitted,previously_seen_nonoverlap_extension,$10k–25k
09_25000_50000,637595,3718,633877,22691214916.55901,136338237.0626652,0.00583128788651103,0.583128788651103,none; observed rates only; independent-trial Wilson intervals omitted,previously_seen_nonoverlap_extension,$25k–50k
10_50000_100000,424298,2897,421401,30400749804.27843,212532347.63675126,0.006827748422099562,0.6827748422099562,none; observed rates only; independent-trial Wilson intervals omitted,previously_seen_nonoverlap_extension,$50k–100k
11_100000_plus,483471,4569,478902,197689604873.66406,2055918947.0670633,0.00945041171031975,0.9450411710319749,none; observed rates only; independent-trial Wilson intervals omitted,previously_seen_nonoverlap_extension,≥$100k
