window,scope,trade_size_bin,excluded_project,matched_cells,bin_candidate_coverage,reference_candidate_coverage,interpretation,restriction
24m,all_projects,02_100_250,,735,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,all_projects,03_250_500,,735,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,all_projects,04_500_1000,,735,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,all_projects,05_1000_2500,,735,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,all_projects,06_2500_5000,,735,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,all_projects,07_5000_10000,,735,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,all_projects,08_10000_25000,,735,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,all_projects,09_25000_50000,,735,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,all_projects,10_50000_100000,,735,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,all_projects,11_100000_plus,,735,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,exclude_primary_dominant_project,02_100_250,uniswap,673,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,exclude_primary_dominant_project,03_250_500,uniswap,673,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,exclude_primary_dominant_project,04_500_1000,uniswap,673,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,exclude_primary_dominant_project,05_1000_2500,uniswap,673,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,exclude_primary_dominant_project,06_2500_5000,uniswap,673,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,exclude_primary_dominant_project,07_5000_10000,uniswap,673,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,exclude_primary_dominant_project,08_10000_25000,uniswap,673,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,exclude_primary_dominant_project,09_25000_50000,uniswap,673,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,exclude_primary_dominant_project,10_50000_100000,uniswap,673,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
24m,exclude_primary_dominant_project,11_100000_plus,uniswap,673,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,all_projects,02_100_250,,900,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,all_projects,03_250_500,,900,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,all_projects,04_500_1000,,900,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,all_projects,05_1000_2500,,900,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,all_projects,06_2500_5000,,900,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,all_projects,07_5000_10000,,900,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,all_projects,08_10000_25000,,900,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,all_projects,09_25000_50000,,900,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,all_projects,10_50000_100000,,900,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,all_projects,11_100000_plus,,900,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,exclude_primary_dominant_project,02_100_250,uniswap,820,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,exclude_primary_dominant_project,03_250_500,uniswap,820,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,exclude_primary_dominant_project,04_500_1000,uniswap,820,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,exclude_primary_dominant_project,05_1000_2500,uniswap,820,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,exclude_primary_dominant_project,06_2500_5000,uniswap,820,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,exclude_primary_dominant_project,07_5000_10000,uniswap,820,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,exclude_primary_dominant_project,08_10000_25000,uniswap,820,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,exclude_primary_dominant_project,09_25000_50000,uniswap,820,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,exclude_primary_dominant_project,10_50000_100000,uniswap,820,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
30m,exclude_primary_dominant_project,11_100000_plus,uniswap,820,1.0,1.0,unmatched_strata_excluded_not_imputed,common_bins
