restriction,window,trade_size_bin,retained_candidates,total_candidates,retained_candidate_share,retained_projects,retained_months
common_bins,24m,01_<100,52592842,53969689,0.9744885133579332,28,24
common_bins,24m,02_100_250,31579691,31977045,0.9875737736241732,28,24
common_bins,24m,03_250_500,27878122,28144783,0.9905253844025019,28,24
common_bins,24m,04_500_1000,27341029,27536801,0.99289053220089,28,24
common_bins,24m,05_1000_2500,30837533,30995585,0.9949008221654794,28,24
common_bins,24m,06_2500_5000,17074227,17138139,0.9962707736236706,28,24
common_bins,24m,07_5000_10000,11445261,11489378,0.9961601924838751,28,24
common_bins,24m,08_10000_25000,8744460,8768035,0.9973112561708524,28,24
common_bins,24m,09_25000_50000,3741739,3751718,0.9973401518984103,28,24
common_bins,24m,10_50000_100000,2331172,2338324,0.996941399053339,28,24
common_bins,24m,11_100000_plus,2647014,2651939,0.9981428682937277,28,24
common_bins,30m,01_<100,79634535,82202128,0.9687648840429046,29,30
common_bins,30m,02_100_250,42891899,43529181,0.9853596602242528,29,30
common_bins,30m,03_250_500,35846825,36266834,0.9884189229200432,29,30
common_bins,30m,04_500_1000,34311865,34652774,0.9901621440176767,29,30
common_bins,30m,05_1000_2500,37206907,37466624,0.9930680437073808,29,30
common_bins,30m,06_2500_5000,20093739,20185607,0.995448836391197,29,30
common_bins,30m,07_5000_10000,13366391,13422389,0.9958280154151395,29,30
common_bins,30m,08_10000_25000,10175348,10205959,0.9970006738220288,29,30
common_bins,30m,09_25000_50000,4377197,4389313,0.9972396591448366,29,30
common_bins,30m,10_50000_100000,2754847,2762622,0.9971856446520733,29,30
common_bins,30m,11_100000_plus,3130013,3135410,0.9982786940144989,29,30
