window,project,adjusted_attack_probability,adjusted_attack_rate_pct,pooled_standardization_weight_on_observed_protocol_support,pooled_standardization_weight_extrapolated,standardization,support_note,scope,inferential_role
revised-24m,dodo,0.02492320060200212,2.4923200602002122,1.0,0.0,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,ekubo,0.02238368928461415,2.2383689284614148,0.45985387028517727,0.5401461297148227,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,swapr,0.021784870700589817,2.178487070058982,0.38314274291155215,0.6168572570884479,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,solidly,0.02016198393972577,2.016198393972577,0.988825917900265,0.011174082099735028,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,uniswap,0.018382333003885306,1.8382333003885305,1.0,0.0,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,verse_dex,0.01732688420829458,1.732688420829458,0.9745690233946687,0.025430976605331335,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,maverick,0.016130990269293023,1.6130990269293024,1.0,0.0,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,shibaswap,0.015230541504952094,1.5230541504952093,0.9985593622171545,0.001440637782845533,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,sushiswap,0.013308699631087894,1.3308699631087895,1.0,0.0,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,apeswap,0.011219958881070646,1.1219958881070646,0.25099226813658465,0.7490077318634154,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
