window,month,candidate_trade_events,attacked_trade_events,unattacked_trade_events,candidate_volume_usd,attacked_volume_usd,attack_rate,share_of_all_attacks
revised-24m,2024-05,7975568.0,288223,7687345.0,79240207862.54291,1729079001.012954,0.03613824118858995,0.076780495367831
revised-24m,2024-06,8756630.0,292907,8463723.0,54564898382.67148,1574460810.7422085,0.03344974036815533,0.07802827864780144
revised-24m,2024-01,7009611.0,223295,6786316.0,44925672328.45049,1552161692.9198484,0.031855548046817436,0.059484151900298814
revised-24m,2024-07,9574267.0,303658,9270609.0,57566665165.66352,1236812901.3077996,0.03171605721879283,0.08089226627439458
revised-24m,2024-04,7813564.0,235883,7577681.0,71600043295.87422,2357685595.6851153,0.030188912511627218,0.06283750286705114
revised-24m,2024-02,6471135.0,174107,6297028.0,45822012585.6372,1481907262.0795245,0.0269051719675142,0.04638082910457164
revised-24m,2024-08,9486967.0,234726,9252241.0,57976842763.94707,1062693159.8450265,0.02474194334184993,0.06252928654447945
revised-24m,2024-09,9732755.0,228627,9504128.0,39691157217.32774,716745286.6033714,0.02349047109477224,0.060904557632323233
revised-24m,2024-03,8233743.0,175627,8058116.0,81024585583.81822,2695164517.907363,0.021330153248650098,0.04678574596741432
revised-24m,2024-10,9828256.0,200746,9627510.0,43919081148.38766,951689092.2699589,0.020425393884733974,0.05347726351856238
revised-24m,2024-11,8927081.0,133581,8793500.0,75779323743.57327,1206683915.4079938,0.014963569838786049,0.03558499964170186
revised-24m,2025-06,9450780.0,125134,9325646.0,63679702197.107895,610544573.4972391,0.01324060024675212,0.03333478073352288
revised-24m,2025-05,10141408.0,126431,10014977.0,72377958710.02913,819387492.2283903,0.012466809342450279,0.03368029203030377
revised-24m,2025-02,7963458.0,97025,7866433.0,77659854559.91951,1105318254.48246,0.012183777449444702,0.02584674909033562
revised-24m,2025-01,8233681.0,100065,8133616.0,80715066334.06898,948497830.596088,0.012153130537848139,0.02665658281602096
revised-24m,2025-04,8580240.0,96137,8484103.0,52891015032.03208,1034448267.7007694,0.011204465143166158,0.025610192396780165
revised-24m,2024-12,7954548.0,88937,7865611.0,83610226393.84305,1085139162.98699,0.011180647850764116,0.023692165151735934
revised-24m,2025-07,10717142.0,118874,10598268.0,87799540620.20152,918514920.5900859,0.011091949700769104,0.03166716260102609
revised-24m,2025-03,8278586.0,91370,8187216.0,62177432015.707184,947433646.2793579,0.011036908960056706,0.02434029852495713
revised-24m,2025-08,11707644.0,110322,11597322.0,142844718875.97964,1058200212.3265421,0.009423074360648478,0.029388972462190223
revised-24m,2025-09,9886563.0,78784,9807779.0,108957744735.18958,859661669.5728034,0.007968795626953473,0.020987480343550646
revised-24m,2025-12,10650756.0,83262,10567494.0,70886588868.10132,414486448.9513933,0.007817473238519406,0.022180386732898988
revised-24m,2025-10,10821005.0,76440,10744565.0,184065165255.45728,682193977.9886593,0.007064038876241163,0.02036305591821958
revised-24m,2025-11,10566048.0,69696,10496352.0,116764698270.61012,474651960.67651075,0.0065962221636698985,0.01856650373202815
