window,project,candidate_trade_events,attacked_trade_events,unattacked_trade_events,candidate_volume_usd,attacked_volume_usd,attack_rate,share_of_all_attacks
revised-24m,solidly,408603.0,12015,396588.0,3310286578.9359097,106617003.88517572,0.029405070447353545,0.0032007079651675597
revised-24m,uniswap,189992159.0,3562438,186429721.0,1262749222530.5715,19818546021.999718,0.018750447485572287,0.9490073809417887
revised-24m,dodo,817646.0,15303,802343.0,38718682846.86279,212691327.66145563,0.01871592351702326,0.004076607073737758
revised-24m,maverick,827016.0,10753,816263.0,31155958108.489048,2281268365.5028453,0.013002166826276638,0.0028645204119389736
revised-24m,ekubo,2709893.0,33076,2676817.0,41392432250.87606,264523022.2301987,0.012205647972078602,0.008811204049594857
revised-24m,shibaswap,662989.0,8040,654949.0,1420580340.1910007,33628213.39544695,0.01212689803299904,0.0021417970902993908
revised-24m,sushiswap,3970031.0,44902,3925129.0,5002540783.918767,101245889.21382703,0.011310239139190601,0.011961563799580006
revised-24m,pancakeswap,2972530.0,29354,2943176.0,19702692623.846603,332424659.36315876,0.009875089570164136,0.007819690520976159
revised-24m,verse_dex,108867.0,982,107885.0,81959379.21047588,1192480.776381965,0.009020180587322145,0.00026159760481019923
revised-24m,swapr,2344.0,15,2329.0,5604437.339832967,185.4114356714751,0.0063993174061433445,3.995890093842147e-06
revised-24m,balancer,2321498.0,14023,2307475.0,43907923686.23524,941674668.0730605,0.0060404962657732205,0.0037356244523965615
revised-24m,defiswap,463493.0,2413,461080.0,128963139.89611886,2631489.691410826,0.005206119617772005,0.00064280551976274
revised-24m,fraxswap,155292.0,671,154621.0,999321343.3370967,14936807.721009474,0.00432089225459135,0.00017874948353120538
revised-24m,apeswap,644.0,2,642.0,1964.2507013022469,0.14164779626,0.003105590062111801,5.327853458456196e-07
revised-24m,curve,6062302.0,18112,6044190.0,188821777680.3393,2683713936.0029507,0.0029876439675885495,0.004824904091977931
revised-24m,xchange,4132.0,12,4120.0,6793657.751657192,15723.797304599855,0.002904162633107454,3.1967120750737174e-06
revised-24m,kyberswap,65157.0,122,65035.0,32475264.20597903,21596.593528512618,0.0018724005095384993,3.2499906096582796e-05
revised-24m,bancor,446738.0,658,446080.0,721982254.841247,2869358.9502485273,0.0014728991041729157,0.00017528637878320885
revised-24m,fluid,1425347.0,961,1424386.0,156742563933.7539,725560852.0003389,0.0006742217859931652,0.0002560033586788202
revised-24m,0x API,1343062.0,5,1343057.0,3281113457.8468084,51.24730874752758,3.7228363247564146e-06,1.331963364614049e-06
revised-24m,0x-API,1371823.0,0,1371823.0,20830523543.032616,0.0,0.0,0.0
revised-24m,1inch-LOP,1498297.0,0,1498297.0,13153371441.128605,0.0,0.0,0.0
revised-24m,airswap,212400.0,0,212400.0,418511797.5848984,0.0,0.0,0.0
revised-24m,carbon_defi,23625.0,0,23625.0,10777198.941015264,0.0,0.0,0.0
revised-24m,clipper,129821.0,0,129821.0,459752200.17267245,0.0,0.0,0.0
revised-24m,dfx,432.0,0,432.0,895876.4294229113,0.0,0.0,0.0
revised-24m,eulerswap,27157.0,0,27157.0,2286330187.71752,0.0,0.0,0.0
revised-24m,integral,85376.0,0,85376.0,4252218521.911023,0.0,0.0,0.0
revised-24m,mauve,253.0,0,253.0,4405847.450852808,0.0,0.0,0.0
revised-24m,native,304220.0,0,304220.0,8248322227.987592,0.0,0.0,0.0
revised-24m,origin_arm,32693.0,0,32693.0,2478443099.0508943,0.0,0.0,0.0
revised-24m,swaap,307705.0,0,307705.0,5907465563.34965,0.0,0.0,0.0
revised-24m,valantis,7891.0,0,7891.0,306308178.684354,0.0,0.0,0.0
