window,project,version,candidate_trade_events,attacked_trade_events,unattacked_trade_events,candidate_volume_usd,attacked_volume_usd,attack_rate,share_of_all_attacks
revised-24m,pancakeswap,stableswap,411.0,15,396.0,8586990.672957227,214160.90540257812,0.0364963503649635,3.995890093842147e-06
revised-24m,solidly,3,408603.0,12015,396588.0,3310286578.9359097,106617003.88517572,0.029405070447353545,0.0032007079651675597
revised-24m,uniswap,2,107403424.0,2730304,104673120.0,406793865031.28613,6645232315.287452,0.02542101451067333,0.7273329804518393
revised-24m,dodo,2,706278.0,15303,690975.0,14131814261.832582,212691327.66145563,0.021667105587318308,0.004076607073737758
revised-24m,maverick,1,93745.0,1666,92079.0,1516887800.4352958,51851016.11751928,0.017771614486105924,0.0004438101930894011
revised-24m,maverick,2,733271.0,9087,724184.0,29639070308.053753,2229417349.385326,0.01239241699180794,0.0024207102188495725
revised-24m,sushiswap,2,176303.0,2178,174125.0,144125528.57195318,6112347.184098449,0.012353731927420408,0.0005802032416258797
revised-24m,ekubo,1,2709893.0,33076,2676817.0,41392432250.87606,264523022.2301987,0.012205647972078602,0.008811204049594857
revised-24m,shibaswap,1,662989.0,8040,654949.0,1420580340.1910007,33628213.39544695,0.01212689803299904,0.0021417970902993908
revised-24m,sushiswap,1,3793728.0,42724,3751004.0,4858415255.346813,95133542.02972858,0.01126174570238035,0.011381360557954126
revised-24m,pancakeswap,3,2522720.0,27498,2495222.0,19454036777.116665,331151484.3402689,0.010900139531933787,0.0073252657200314234
revised-24m,uniswap,3,71315857.0,756253,70559604.0,732739423908.0442,11952184978.2217,0.010604275568054941,0.20146025807589368
revised-24m,verse_dex,1,108867.0,982,107885.0,81959379.21047588,1192480.776381965,0.009020180587322145,0.00026159760481019923
revised-24m,balancer,2,1570622.0,11053,1559569.0,33969261345.87038,845640881.6484287,0.007037339347086695,0.002944438213815817
revised-24m,uniswap,4,11056982.0,75279,10981703.0,123022549566.16072,1220689766.6043677,0.00680827734005536,0.020053774024956197
revised-24m,balancer,3,195784.0,1305,194479.0,9489736251.231926,88863618.4155338,0.006665508928206595,0.00034764243816426675
revised-24m,xchange,2,1383.0,9,1374.0,439196.0349800695,15719.919194261689,0.006507592190889371,2.3975340563052882e-06
revised-24m,swapr,1,2344.0,15,2329.0,5604437.339832967,185.4114356714751,0.0063993174061433445,3.995890093842147e-06
revised-24m,defiswap,1,463493.0,2413,461080.0,128963139.89611886,2631489.691410826,0.005206119617772005,0.00064280551976274
