window,trade_size_bin,candidate_trade_events,attacked_trade_events,unattacked_trade_events,candidate_volume_usd,attacked_volume_usd,attack_rate,share_of_all_attacks
revised-24m,06_2500_5000,17138139.0,467033,16671106.0,60714374163.1329,1670407227.1951034,0.027251091848420648,0.12441416921315862
revised-24m,07_5000_10000,11489378.0,308317,11181061.0,80731978246.56178,2180450843.967616,0.02683496008226033,0.08213338973754195
revised-24m,05_1000_2500,30995585.0,785620,30209965.0,49465686889.422264,1256154714.7945669,0.025346190433250412,0.20928341170161782
revised-24m,04_500_1000,27536801.0,643200,26893601.0,19824256056.322525,473008375.70832247,0.023357833032239293,0.17134376722395125
revised-24m,08_10000_25000,8768035.0,202685,8565350.0,135985981599.86917,3072919787.847869,0.023116353892291715,0.053993798911359706
revised-24m,03_250_500,28144783.0,534832,27609951.0,10223229318.193125,198513100.41782403,0.019002882345904033,0.1424753260446522
revised-24m,09_25000_50000,3751718.0,63833,3687885.0,132343614300.66444,2219489126.7483296,0.01701433849772291,0.017004643490681717
revised-24m,02_100_250,31977045.0,420839,31556206.0,5306625826.683448,72675931.67712927,0.013160659466814398,0.11210842608016235
revised-24m,11_100000_plus,2651939.0,32600,2619339.0,1195451498072.4353,14447231093.186945,0.012292892106492646,0.008684401137283599
revised-24m,10_50000_100000,2338324.0,27424,2310900.0,164478656910.65082,1918259774.9101756,0.011728058216055602,0.0073055526622351355
revised-24m,01_<100,53969689.0,267474,53702215.0,2014300562.2053287,14451677.204572456,0.004956004100746254,0.07125311379735563
