project,candidate_trade_events,attacked_trade_events,candidate_trade_share,attack_share,relative_attack_concentration_ratio,attack_share_minus_candidate_share_pp,window,interpretation
solidly,408603.0,12015,0.0018678017820288946,0.0032007079651675597,1.7136229314926552,0.13329061831386652,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
uniswap,189992159.0,3562438,0.8684901803259327,0.9490073809417887,1.0927093966515995,8.051720061585598,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
dodo,817646.0,15303,0.003737614887479528,0.004076607073737758,1.09069746254324,0.03389921862582304,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
maverick,827016.0,10753,0.0037804469339833735,0.0028645204119389736,0.7577200426195883,-0.09159265220443999,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
ekubo,2709893.0,33076,0.012387434684786033,0.008811204049594857,0.7113017564820405,-0.35762306351911755,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
shibaswap,662989.0,8040,0.0030306484183071462,0.0021417970902993908,0.7067124900933747,-0.08888513280077555,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
sushiswap,3970031.0,44902,0.018147764398474694,0.011961563799580006,0.6591205140719903,-0.6186200598894689,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
pancakeswap,2972530.0,29354,0.01358799820641148,0.007819690520976159,0.5754851010567875,-0.5768307685435322,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
verse_dex,108867.0,982,0.0004976516976237073,0.00026159760481019923,0.5256640458765255,-0.023605409281350805,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
swapr,2344.0,15,1.0714868410353641e-05,3.995890093842147e-06,0.3729294603357862,-0.0006718978316511495,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
balancer,2321498.0,14023,0.010612007502090084,0.0037356244523965615,0.3520186403619497,-0.6876383049693523,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
defiswap,463493.0,2413,0.0021187143788908023,0.00064280551976274,0.30339413663641823,-0.14759088591280622,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
