project,avg_trade_size_24m,avg_trade_size_30m,ratio_to_pooled_24m,ratio_to_pooled_30m,volume_24m_usd,volume_30m_usd,remains_ge_10x_pooled
fluid,755006.089490467,662353.9099737008,102.97304286924245,93.48512778020778,725560852.0003388,862384790.7857584,True
maverick,212151.80558940247,192562.7754960788,28.934755991819806,27.178454602430236,2281268365.502845,2515832661.8562694,True
curve,148173.2517669474,127077.08035332896,20.20891065470748,17.93575445978478,2683713936.002951,3235382465.7957554,True
balancer,67152.15489360766,59606.75042278046,9.158683381332887,8.412941474230655,941674668.0730604,1063503641.043249,False
fraxswap,22260.51821312887,12717.907435191466,3.0360461036798223,1.7950149969265468,14936807.721009472,15414103.811452055,False
dodo,13898.668735637168,5133.413110461336,1.895598236175864,0.7245337777188128,212691327.6614556,248441794.3069973,False
pancakeswap,11324.680090044243,6829.72203324761,1.544539553554563,0.9639520917251088,332424659.3631587,351641898.3258197,False
solidly,8873.658250950955,8492.355232929984,1.2102519492244665,1.198617388907538,106617003.88517572,106630012.30466887,False
ekubo,7997.430832936225,6220.968450758118,1.0907458886318575,0.8780321543793036,264523022.23019856,295377803.0104462,False
uniswap,5563.197456910065,5379.894756813293,0.7587480130220775,0.759322382206108,19818546021.99978,21527734947.7045,False
bancor,4360.727887915695,3748.2441420839978,0.5947467523692253,0.5290299903084302,2869358.950248528,2931126.9191096863,False
shibaswap,4182.613606398872,3728.400497988664,0.5704542734057326,0.5262292434932557,33628213.39544693,33883703.72572098,False
sushiswap,2254.819144221348,2000.1038570907328,0.30752810027928273,0.28229615895411225,101245889.21382695,102925344.4858891,False
xchange,1310.316442049988,1048.253918323941,0.17871017603387196,0.1479513444776194,15723.797304599855,15723.808774859115,False
verse_dex,1214.338876152714,1082.1791700334072,0.1656200802780942,0.152739579956083,1192480.776381965,1269396.1664491866,False
defiswap,1090.5469089974415,1030.201295576961,0.1487364607706668,0.1454033837592531,2631489.6914108265,2655858.9399974053,False
kyberswap,177.0212584304313,172.98443668306,0.02414340478422619,0.02441515317384512,21596.593528512614,21623.054585382502,False
swapr,12.36076237809834,8.319685262451156,0.0016858477460962396,0.0011742466197296843,185.4114356714751,191.35276103637656,False
0x API,10.249461749505516,10.249461749505516,0.001397893710805386,0.0014466167209142315,51.24730874752758,51.24730874752758,False
apeswap,0.07082389813,0.07082389813,9.6594615590838e-06,9.996138117216458e-06,0.14164779626,0.14164779626,False
