project,p1,p2
balancer,0.008821852837290773,0.003999171725217008
bancor,0.0011060619433136034,0.0016816019043410257
curve,0.004019412023894824,0.001952515714938808
defiswap,0.01371882484117991,0.006843560113304648
dodo,0.01741452089087695,0.026073864454723785
fluid,0.001172481661299258,0.0006718432282399184
fraxswap,0.003330503329342577,0.003369795257915269
maverick,0.011030153032491998,0.013309187062833717
pancakeswap,0.014153912043485775,0.006317017721427053
shibaswap,0.017065452583072613,0.01161849147331784
solidly,0.024576586861163548,0.02072837262434523
sushiswap,0.01587613192187488,0.009918113521042916
swapr,0.026608541422573295,0.012177161947177016
uniswap,0.026988577617967822,0.01088623379044459
verse_dex,0.017529988161162743,0.012466784166727366
xchange,0.008631510719255758,0.004284402605867021
