protocol_a,protocol_b,log_odds_difference_a_minus_b,odds_ratio_a_vs_b,ci95_low_or,ci95_high_or,t_stat,df,p_value_raw,p_value_holm_exploratory,inference_status
0x API,apeswap,-7.16095375447191,0.0007763137872731015,6.209735238688238e-05,0.009705133522530255,-5.798354961493424,29,2.7733624533223495e-06,0.0003577637564785831,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,balancer,-6.991923360521292,0.0009192767296613374,0.0002486472760900133,0.003398668664244355,-10.936536646731815,29,8.336198759264856e-12,1.3838089940379662e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,bancor,-5.609599453745452,0.0036625360790751463,0.0011050320718785842,0.012139168510939866,-9.574477620944698,29,1.7534793210332128e-10,2.71789294760148e-08,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,curve,-6.2080017797100435,0.002013256377137669,0.0005608765701654756,0.007226547614370259,-9.93482834849899,29,7.653637002828218e-11,1.193967372441202e-08,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,defiswap,-7.246496768212452,0.0007126666572843679,0.0001849590048229002,0.002745980196482928,-10.987452222705112,29,7.472756653250228e-12,1.247950361092788e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,dodo,-9.03399129004113,0.00011928543898982457,2.8624543421945818e-05,0.0004970914555823476,-12.94554226496846,29,1.4043839375597617e-13,2.570022605734364e-11,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,ekubo,-8.028171605877107,0.00032614398384205463,9.14771227078888e-05,0.001162803278542487,-12.915991405289166,29,1.4864490027928404e-13,2.6756082050271126e-11,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,fluid,-4.94452751948495,0.0071222790072624515,0.0017392780580553918,0.029165467834399533,-7.1733565765213205,29,6.76960144267411e-08,9.342049990890272e-06,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,fraxswap,-6.751291785545876,0.0011693680719297563,0.00025417157462317985,0.005379915868546572,-9.04721429754054,29,6.081373344465114e-10,9.243687483586973e-08,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,kyberswap,-5.897541638452206,0.0027461876493349454,0.0006052702348811718,0.012459800880247101,-7.975848503135195,29,8.517790591278332e-09,1.2265618451440797e-06,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,maverick,-7.91754932366166,0.00036429400013336145,0.00011158776845317142,0.0011892891162964528,-13.686522770656214,29,3.4829925731780573e-14,6.548026037574748e-12,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
