"date","total_sandwich_volume_usd","daily_change_usd","absolute_daily_change_usd","daily_percentage_change"
2025-09-25,1192716230.06121,683839605.44249,683839605.44249,134.382200391866
2025-08-23,812969090.37309,-577799011.523133,577799011.523133,-41.5453166300939
2025-08-10,1049700984.26861,-560341620.657098,560341620.657098,-34.8029063915953
2025-08-18,1184891161.74058,539279494.154795,539279494.154795,83.5300105667836
2025-08-09,1610042604.92571,536913603.37031,536913603.37031,50.0325312792874
2024-12-07,313556345.566489,-530785897.79139,530785897.79139,-62.8638329974465
2024-08-06,326017067.76025,-525697847.745462,525697847.745462,-61.7222779799888
2024-12-06,844342243.357879,524103206.120125,524103206.120125,163.659999305774
2025-07-29,765729795.874865,-497879301.142847,497879301.142847,-39.4013704331434
2024-08-05,851714915.505712,496862800.910382,496862800.910382,140.019681572702
