"date","total_sandwich_volume_usd","sandwich_trade_count","unique_sandwich_bots","unique_transactions"
2025-08-09,1610042604.92571,8567,127,6325
2025-08-14,1471728543.38735,7365,106,5573
2025-08-22,1390768101.89622,8248,174,6181
2025-08-11,1373120607.21016,8653,136,6365
2025-08-12,1325545116.8933,7533,124,5666
2025-08-25,1271011369.1032,6305,128,4919
2025-07-28,1263609097.01771,8439,129,6317
2025-08-13,1257567365.05036,8013,118,5923
2025-08-19,1212996354.48275,7422,125,5683
2025-09-25,1192716230.06121,5261,109,4169
