"month","monthly_volume_usd","average_daily_volume_usd","median_daily_volume_usd","monthly_trade_count","average_daily_trade_count","average_unique_bots","maximum_daily_volume_usd","standard_deviation_usd","days_observed"
2024-01-01,7375673396.83999,237924948.285161,232386682.730118,418849,13511.2580645161,209.741935483871,400610949.463794,73509060.9651695,31
2024-02-01,6454336658.04006,222563333.035864,208602618.002639,318213,10972.8620689655,176.344827586207,318378059.781085,55971491.3384353,29
2024-03-01,8796864395.96568,283769819.224699,278940495.607157,333804,10767.8709677419,236.903225806452,415198691.945017,71178360.1656804,31
2024-04-01,9417218180.37497,313907272.679166,297798296.931286,445727,14857.5666666667,284.533333333333,553669789.10362,90326148.9792203,30
2024-05-01,7094479664.17594,228854182.715353,222764967.012366,541980,17483.2258064516,278,427274068.428769,68427850.6131937,31
2024-06-01,6326346401.51528,210878213.383843,201616768.337367,550367,18345.5666666667,220.166666666667,373803250.493158,65783310.2588382,30
2024-07-01,6976944488.98837,225062725.451238,201599560.225825,572419,18465.1290322581,204.838709677419,419414375.044052,72056987.9893478,31
2024-08-01,8373608343.52082,270116398.178091,260087264.428091,436665,14085.9677419355,215.58064516129,851714915.505712,129979543.243916,31
2024-09-01,5379826188.02389,179327539.600796,178062146.81052,427385,14246.1666666667,216.066666666667,356713914.373029,54762382.6968469,30
2024-10-01,6509024197.50298,209968522.500096,204779788.020269,385893,12448.1612903226,215.258064516129,363447946.66208,62983012.0484592,31
2024-11-01,7876491823.82187,262549727.460729,251318878.345663,264436,8814.53333333333,203.4,442624230.995165,74316072.1762564,30
2024-12-01,8303371230.27548,267850684.847596,254408418.174014,173514,5597.22580645161,151,844342243.357879,120700249.870878,31
2025-01-01,7345464512.43796,236950468.14316,237738506.165387,197210,6361.61290322581,158.483870967742,363357784.35289,54464710.6599519,31
2025-02-01,7484824463.98996,267315159.428213,242032055.052134,193589,6913.89285714286,201.357142857143,537490239.196617,86027596.5751819,28
2025-03-01,6861124082.04672,221326583.29183,209968357.101963,185022,5968.45161290323,163.806451612903,399683336.935566,61760791.0360667,31
2025-04-01,10237759969.5923,341258665.653078,335678982.226485,193462,6448.73333333333,125.233333333333,600439645.49158,79019777.2884272,30
2025-05-01,12326908647.448,397642214.433807,401583151.475739,250034,8065.61290322581,120.193548387097,661777680.58159,115281887.12645,31
2025-06-01,10820716860.8829,360690562.029431,381581414.417432,250016,8333.86666666667,118.7,646612342.030472,105261941.844138,30
2025-07-01,19409168804.3497,626102219.49515,673652368.379352,230984,7451.09677419355,115.709677419355,1263609097.01771,249688410.898838,31
2025-08-01,31254715686.4626,1008216635.04718,977505266.579165,221620,7149.03225806452,120.806451612903,1610042604.92571,279383703.717624,31
2025-09-01,18224345510.6454,607478183.688179,586155651.138168,158863,5295.43333333333,110.566666666667,1192716230.06121,187556022.31712,30
2025-10-01,14590016847.8349,470645704.768869,473463466.625387,154408,4980.90322580645,110.032258064516,927070800.649005,150694927.055429,31
2025-11-01,9648909387.89164,321630312.929721,311188147.397605,133952,4465.06666666667,92.4333333333333,504080554.014885,95571456.2056617,30
2025-12-01,10234204050.2928,330135614.525573,327736825.452116,167156,5392.12903225806,91.9032258064516,567860808.746766,94770276.8398727,31
