source,outcome_or_sample,term_or_contrast,df,se,scale,alpha_uncorrected,mde_raw,mde_raw_pct,alpha_corrected,family_size,mde_corrected,mde_corrected_pct,target_power
"m10_h3 (HAC(14) ITS, primary 24m)",log daily USD volume,t,719,0.0014473966580221273,log_growth_factor_per_day (t/S_*) or log_level (D_*),0.05,0.0040605125329939195,0.4068767583472748,0.008333333333333333,6,0.005048085418573396,0.506084846905545,0.8
"m10_h3 (HAC(14) ITS, primary 24m)",log daily USD volume,D_dencun,719,0.09638383997300201,log_growth_factor_per_day (t/S_*) or log_level (D_*),0.05,0.27039428895964185,31.04810570930941,0.008333333333333333,6,0.33615792495935476,39.956003282042836,0.8
"m10_h3 (HAC(14) ITS, primary 24m)",log daily USD volume,S_dencun,719,0.0015097894278483129,log_growth_factor_per_day (t/S_*) or log_level (D_*),0.05,0.004235548603751213,0.42445312173598576,0.008333333333333333,6,0.005265692685965027,0.5279580811863683,0.8
"m10_h3 (HAC(14) ITS, primary 24m)",log daily USD volume,D_pectra,719,0.19888863162301054,log_growth_factor_per_day (t/S_*) or log_level (D_*),0.05,0.5579602363313588,74.71051816146877,0.008333333333333333,6,0.693663893481773,100.1033692881891,0.8
"m10_h3 (HAC(14) ITS, primary 24m)",log daily USD volume,S_pectra,719,0.0010915996092145525,log_growth_factor_per_day (t/S_*) or log_level (D_*),0.05,0.003062362946370153,0.30670567699519424,0.008333333333333333,6,0.0038071720282444907,0.3814428513644498,0.8
"m10_h3 (HAC(14) ITS, primary 24m)",log daily trade count,t,719,0.002725759403363092,log_growth_factor_per_day (t/S_*) or log_level (D_*),0.05,0.0076468189683443774,0.767613055434134,0.008333333333333333,6,0.00950663124886543,0.9551962803968016,0.8
"m10_h3 (HAC(14) ITS, primary 24m)",log daily trade count,D_dencun,719,0.1385385863122722,log_growth_factor_per_day (t/S_*) or log_level (D_*),0.05,0.38865480509879774,47.499530258532644,0.008333333333333333,6,0.48318103651588074,62.12233790785242,0.8
"m10_h3 (HAC(14) ITS, primary 24m)",log daily trade count,S_dencun,719,0.002737239550096134,log_growth_factor_per_day (t/S_*) or log_level (D_*),0.05,0.0076790252605392385,0.7708584588849015,0.008333333333333333,6,0.009546670557374919,0.9592385375703594,0.8
"m10_h3 (HAC(14) ITS, primary 24m)",log daily trade count,D_pectra,719,0.0926580318606647,log_growth_factor_per_day (t/S_*) or log_level (D_*),0.05,0.2599419430516794,29.685479304843476,0.008333333333333333,6,0.32316342376298335,38.14911009329106,0.8
"m10_h3 (HAC(14) ITS, primary 24m)",log daily trade count,S_pectra,719,0.0006306650655808096,log_growth_factor_per_day (t/S_*) or log_level (D_*),0.05,0.001769261652442727,0.17708277192979507,0.008333333333333333,6,0.002199570590353988,0.22019914203483953,0.8
"m10_h3 (HAC(14) ITS, primary 24m)",log daily unique bots,t,719,0.0018746658429789015,log_growth_factor_per_day (t/S_*) or log_level (D_*),0.05,0.0052591693565144804,0.527302306335734,0.008333333333333333,6,0.006538272182810804,0.6559693344726637,0.8
"m10_h3 (HAC(14) ITS, primary 24m)",log daily unique bots,D_dencun,719,0.09691876895685678,log_growth_factor_per_day (t/S_*) or log_level (D_*),0.05,0.27189497353782244,31.24491521810902,0.008333333333333333,6,0.3380235968112295,40.21735898404623,0.8
"m10_h3 (HAC(14) ITS, primary 24m)",log daily unique bots,S_dencun,719,0.001865646998957613,log_growth_factor_per_day (t/S_*) or log_level (D_*),0.05,0.005233867979052684,0.5247588592913579,0.008333333333333333,6,0.006506817159929607,0.652803248449034,0.8
"m10_h3 (HAC(14) ITS, primary 24m)",log daily unique bots,D_pectra,719,0.061769738202655175,log_growth_factor_per_day (t/S_*) or log_level (D_*),0.05,0.17328822388907314,18.920881408251443,0.008333333333333333,6,0.21543431995761364,24.040051068947697,0.8
"m10_h3 (HAC(14) ITS, primary 24m)",log daily unique bots,S_pectra,719,0.00031421137032864763,log_growth_factor_per_day (t/S_*) or log_level (D_*),0.05,0.0008814855279354683,0.08818741504834436,0.008333333333333333,6,0.0010958750167860086,0.10964757072193891,0.8
"m9b_h2 (grouped-binomial, CR1 cluster-robust, primary 24m)",24m_primary_all_project_versions,<$100 vs $100–250,58.0,0.07410199536982595,log_odds,0.05,0.21115956035455452,23.51094138355776,0.005,10,0.2790871529022611,32.19225482359119,0.8
"m9b_h2 (grouped-binomial, CR1 cluster-robust, primary 24m)",24m_primary_all_project_versions,<$100 vs $250–500,58.0,0.09288899824151628,log_odds,0.05,0.2646946270820728,30.3033004025969,0.005,10,0.34984383248772977,41.884595364786605,0.8
"m9b_h2 (grouped-binomial, CR1 cluster-robust, primary 24m)",24m_primary_all_project_versions,<$100 vs $500–1k,58.0,0.11415546315176021,log_odds,0.05,0.325295119124575,38.443916017058825,0.005,10,0.4299388031356134,53.71634510865847,0.8
"m9b_h2 (grouped-binomial, CR1 cluster-robust, primary 24m)",24m_primary_all_project_versions,<$100 vs $1k–2.5k,58.0,0.11945021887347633,log_odds,0.05,0.3403829488760205,40.54857166950901,0.005,10,0.4498802135161552,56.812433413914896,0.8
"m9b_h2 (grouped-binomial, CR1 cluster-robust, primary 24m)",24m_primary_all_project_versions,<$100 vs $2.5k–5k,58.0,0.09050125203165128,log_odds,0.05,0.25789055335373356,29.41971653332871,0.005,10,0.34085096679985466,40.61436631555548,0.8
"m9b_h2 (grouped-binomial, CR1 cluster-robust, primary 24m)",24m_primary_all_project_versions,<$100 vs $5k–10k,58.0,0.1129694905314537,log_odds,0.05,0.32191559532300085,37.976831214355016,0.005,10,0.4254721255465757,53.031274887791945,0.8
"m9b_h2 (grouped-binomial, CR1 cluster-robust, primary 24m)",24m_primary_all_project_versions,<$100 vs $10k–25k,58.0,0.13186850141622874,log_odds,0.05,0.3757698378389863,45.611195332578255,0.005,10,0.496650656086503,64.32083735949251,0.8
"m9b_h2 (grouped-binomial, CR1 cluster-robust, primary 24m)",24m_primary_all_project_versions,<$100 vs $25k–50k,58.0,0.20415825792321526,log_odds,0.05,0.5817652786630911,78.91940707558531,0.005,10,0.7689124518295608,115.74186807278113,0.8
"m9b_h2 (grouped-binomial, CR1 cluster-robust, primary 24m)",24m_primary_all_project_versions,<$100 vs $50k–100k,58.0,0.27336025214350035,log_odds,0.05,0.7789618939807408,117.92088410490804,0.005,10,1.029544941490729,179.9791475831885,0.8
"m9b_h2 (grouped-binomial, CR1 cluster-robust, primary 24m)",24m_primary_all_project_versions,<$100 vs ≥$100k,58.0,0.18334064431651123,log_odds,0.05,0.5224438242962552,68.61432565979652,0.005,10,0.6905079705100176,99.47285392061292,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs apeswap,pairwise log-odds contrast,23.0,1.234318194534665,log_odds,0.05,3.6118460572711584,3603.435729299857,0.0002631578947368421,190,6.372419017051288,58447.238496616395,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs balancer,pairwise log-odds contrast,23.0,0.6287974297580351,log_odds,0.05,1.8399789677814833,529.6405832250692,0.0002631578947368421,190,3.246294769861745,2469.4957588319,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs bancor,pairwise log-odds contrast,23.0,0.585552872705739,log_odds,0.05,1.7134373000175582,454.7998876890584,0.0002631578947368421,190,3.0230359384160157,1955.359651276716,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs curve,pairwise log-odds contrast,23.0,0.608960129131708,log_odds,0.05,1.7819313133181918,494.13198954869335,0.0002631578947368421,190,3.1438806660124317,2219.3699441986278,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs defiswap,pairwise log-odds contrast,23.0,0.6659035422823752,log_odds,0.05,1.9485583979601204,601.8562310294137,0.0002631578947368421,190,3.437862631492508,3012.0371331729107,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs dodo,pairwise log-odds contrast,23.0,0.7324085416360561,log_odds,0.05,2.1431644734178104,752.6376474479242,0.0002631578947368421,190,3.7812082327214926,4286.901370571484,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs ekubo,pairwise log-odds contrast,23.0,0.6181936737942172,log_odds,0.05,1.8089503931888355,510.40372296711087,0.0002631578947368421,190,3.1915507205111,2332.612122441922,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs fluid,pairwise log-odds contrast,23.0,0.7199559400376291,log_odds,0.05,2.1067258304607543,722.1279307388929,0.0002631578947368421,190,3.7169191413113998,4013.7459974957337,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs fraxswap,pairwise log-odds contrast,23.0,0.6549708952631125,log_odds,0.05,1.91656742658264,579.7585166806313,0.0002631578947368421,190,3.3814206150977615,2841.2525325475804,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs kyberswap,pairwise log-odds contrast,23.0,0.7644104166262984,log_odds,0.05,2.236807949241617,836.3395101514237,0.0002631578947368421,190,3.94642442873325,5074.999982341718,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs maverick,pairwise log-odds contrast,23.0,0.55661200663918,log_odds,0.05,1.6287509092154513,409.7503495606614,0.0002631578947368421,190,2.87362282427003,1670.1029898979255,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs pancakeswap,pairwise log-odds contrast,23.0,0.6224262693044452,log_odds,0.05,1.8213357598417221,518.0108079084779,0.0002631578947368421,190,3.213402356693966,2386.3537099006076,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs shibaswap,pairwise log-odds contrast,23.0,0.6309535335286203,log_odds,0.05,1.8462881309594525,533.6256463960609,0.0002631578947368421,190,3.2574260946135385,2498.257431351451,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs solidly,pairwise log-odds contrast,23.0,0.6136856383344051,log_odds,0.05,1.795759037690994,502.40454644646155,0.0002631578947368421,190,3.1682770695021087,2276.650103140142,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs sushiswap,pairwise log-odds contrast,23.0,0.6224488787037735,log_odds,0.05,1.8214019191758246,518.0516964445616,0.0002631578947368421,190,3.213519082321832,2386.6439480372774,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs swapr,pairwise log-odds contrast,23.0,0.8081902255477587,log_odds,0.05,2.3649158641546544,964.3143309978876,0.0002631578947368421,190,4.1724466069440815,6387.397922962032,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",0x API vs uniswap,pairwise log-odds contrast,23.0,0.6056792239119618,log_odds,0.05,1.7723307705775186,488.4552932739259,0.0002631578947368421,190,3.1269423247419006,2180.414516097879,0.8
