rank_basis,taker,victim_trades,total_volume_usd,avg_trade_usd,max_trade_usd,trades_ge_10k,protocols_touched,distinct_senders,first_seen,last_seen,first_seen_parsed,last_seen_parsed,senders_per_100_trades
by_trade_count,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,882844,4251867131.205733,4816.102427162367,4856006.554722665,78893,1,186190,2024-01-01 00:03:23.000 UTC,2025-12-23 16:40:23.000 UTC,2024-01-01 00:03:23,2025-12-23 16:40:23,21.08979615877777
by_trade_count,0x1111111254eeb25477b68fb85ed929f73a960582,173332,330198572.92764646,1905.0064207858125,14054236.10735164,3106,11,68912,2024-01-01 00:02:35.000 UTC,2025-12-31 23:20:23.000 UTC,2024-01-01 00:02:35,2025-12-31 23:20:23,39.75722890176078
by_trade_count,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,151020,550457420.5751952,3644.9306090265873,3686858.5359375,7726,6,39810,2025-01-29 16:40:47.000 UTC,2025-12-31 23:57:47.000 UTC,2025-01-29 16:40:47,2025-12-31 23:57:47,26.360746920937622
by_trade_count,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,94360,409296687.5972335,4337.60796521019,6898485.771230527,5261,8,32427,2024-01-01 01:17:47.000 UTC,2025-11-13 20:35:59.000 UTC,2024-01-01 01:17:47,2025-11-13 20:35:59,34.36519711742264
by_trade_count,0xf3de3c0d654fda23dad170f0f320a92172509127,79889,114326896.80918494,1431.071822268209,531864.0836307945,1304,8,24305,2024-01-01 00:36:47.000 UTC,2025-03-16 20:53:11.000 UTC,2024-01-01 00:36:47,2025-03-16 20:53:11,30.423462554294083
by_trade_count,0xe37e799d5077682fa0a244d46e5649f71457bd09,78907,1802141765.7010584,22838.807275667037,13071146.390499642,25612,12,34565,2024-01-01 00:10:35.000 UTC,2024-12-05 08:07:23.000 UTC,2024-01-01 00:10:35,2024-12-05 08:07:23,43.80473215304092
by_trade_count,0x74de5d4fcbf63e00296fd95d33236b9794016631,70075,228888683.6404096,3266.3386891246464,1860963.5190682863,3975,8,28351,2024-01-01 00:04:35.000 UTC,2025-12-30 23:44:11.000 UTC,2024-01-01 00:04:35,2025-12-30 23:44:11,40.45808062789868
by_trade_count,0x5141b82f5ffda4c6fe1e372978f1c5427640a190,50539,1345155318.105724,26616.183899675976,10321382.4,11297,14,22073,2024-12-25 08:56:11.000 UTC,2025-10-20 17:40:59.000 UTC,2024-12-25 08:56:11,2025-10-20 17:40:59,43.67518154296682
by_trade_count,0x0d0e364aa7852291883c162b22d6d81f6355428f,45266,79884772.44912994,1764.7853234023316,923119.6823698129,1004,10,16604,2025-01-31 14:08:59.000 UTC,2025-05-01 17:17:23.000 UTC,2025-01-31 14:08:59,2025-05-01 17:17:23,36.68095259134891
by_trade_count,0x111111125421ca6dc452d289314280a0f8842a65,44532,96587307.18655668,2168.941596751924,2248508.294401141,820,12,13747,2024-03-02 03:50:47.000 UTC,2025-12-31 23:48:59.000 UTC,2024-03-02 03:50:47,2025-12-31 23:48:59,30.8699362256355
by_trade_count,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,41918,78574198.9159166,1874.473947132893,1668902.1924250703,967,1,13973,2024-01-01 00:37:23.000 UTC,2025-12-31 23:57:47.000 UTC,2024-01-01 00:37:23,2025-12-31 23:57:47,33.334128536666825
by_trade_count,0x70bf6634ee8cb27d04478f184b9b8bb13e5f4710,32513,180453194.1460953,5550.185899366264,2496031.9588740226,3683,11,15381,2024-08-30 16:22:59.000 UTC,2025-11-27 14:04:11.000 UTC,2024-08-30 16:22:59,2025-11-27 14:04:11,47.30723095377234
by_trade_count,0xf081470f5c6fbccf48cc4e5b82dd926409dcdd67,30624,1063817171.7067173,34738.021542147246,18874900.0,7446,12,12962,2024-01-01 00:22:47.000 UTC,2025-01-22 00:56:47.000 UTC,2024-01-01 00:22:47,2025-01-22 00:56:47,42.32628004179728
by_trade_count,0xb1b2d032aa2f52347fbcfd08e5c3cc55216e8404,25814,76965312.06924678,2981.5337440631743,315110.2155293456,1460,9,6,2024-01-28 16:28:23.000 UTC,2025-12-31 23:21:11.000 UTC,2024-01-28 16:28:23,2025-12-31 23:21:11,0.023243201363601147
by_trade_count,0xdf31a70a21a1931e02033dbba7deace6c45cfd0f,25012,63249030.62134359,2528.747426089221,1802025.4353528367,940,10,11153,2025-07-02 18:37:59.000 UTC,2025-09-19 11:57:35.000 UTC,2025-07-02 18:37:59,2025-09-19 11:57:35,44.59059651367344
by_trade_count,0x5418226af9c8d5d287a78fbbbcd337b86ec07d61,23307,55734550.749336846,2391.322381659452,1596507.4504322377,636,9,8545,2025-05-01 17:26:35.000 UTC,2025-06-18 22:22:59.000 UTC,2025-05-01 17:26:35,2025-06-18 22:22:59,36.66280516583001
by_trade_count,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,23216,706274922.0725874,30421.9039486814,7180739.954052583,7644,10,7294,2024-01-01 00:35:47.000 UTC,2025-12-31 17:50:11.000 UTC,2024-01-01 00:35:47,2025-12-31 17:50:11,31.41798759476223
by_trade_count,0x77edae6a5f332605720688c7fda7476476e8f83f,20707,28788811.772048503,1390.2937060920706,345418.10522649507,282,3,4463,2024-01-01 06:05:23.000 UTC,2025-12-30 01:07:23.000 UTC,2024-01-01 06:05:23,2025-12-30 01:07:23,21.553097986188245
by_trade_count,0xdef1c0ded9bec7f1a1670819833240f027b25eff,19171,194052625.0130001,10122.196286735178,1685407.0533921395,3572,2,10863,2024-01-01 00:09:11.000 UTC,2025-06-27 08:01:35.000 UTC,2024-01-01 00:09:11,2025-06-27 08:01:35,56.663710813207445
by_trade_count,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,17662,72477906.43475908,4103.606977395486,397170.513582485,1528,7,9297,2024-01-01 00:16:47.000 UTC,2025-12-31 15:43:35.000 UTC,2024-01-01 00:16:47,2025-12-31 15:43:35,52.638432793568114
by_trade_count,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,16992,290386952.7085408,17089.627631152354,1826896.8954504975,3351,7,1,2024-01-01 00:26:35.000 UTC,2024-08-13 05:33:35.000 UTC,2024-01-01 00:26:35,2024-08-13 05:33:35,0.005885122410546139
by_trade_count,0x3451b6b219478037a1ac572706627fc2bda1e812,16859,385659867.8298458,22875.60755856491,5252919.013621168,6272,13,8671,2024-10-18 16:00:11.000 UTC,2024-12-25 08:51:23.000 UTC,2024-10-18 16:00:11,2024-12-25 08:51:23,51.4324693042292
by_trade_count,0x1f2f10d1c40777ae1da742455c65828ff36df387,15287,660502178.1409073,43206.7886531633,5216387.164593406,4298,10,1,2024-08-06 09:23:11.000 UTC,2025-12-31 22:43:23.000 UTC,2024-08-06 09:23:11,2025-12-31 22:43:23,0.006541505854647739
by_trade_count,0x00000047bb99ea4d791bb749d970de71ee0b1a34,13960,24684199.678227067,1768.2091460048043,138443.7699434036,266,5,4000,2024-01-01 01:50:47.000 UTC,2025-12-31 19:55:59.000 UTC,2024-01-01 01:50:47,2025-12-31 19:55:59,28.653295128939828
by_trade_count,0x207e1074858a7e78f17002075739ed2745dbaece,12349,26376258.70899924,2135.902397683961,2801697.301802616,353,10,6061,2025-09-30 15:47:23.000 UTC,2025-12-08 15:04:47.000 UTC,2025-09-30 15:47:23,2025-12-08 15:04:47,49.080897238642805
