Panel,Variable,N,Mean,Std,Min,P25,Median,P75,Max
A. Daily Bot-Side Series,Daily Trade Count,731,9857.053351573188,4863.6079936943715,2782.0,5961.0,8284.0,13052.0,26833.0
A. Daily Bot-Side Series,Daily Volume (USD Millions),731,338.61129134053243,215.9897491087703,93.00612147107107,207.8091693002077,276.31433962651283,386.4506242100818,1608.823049136619
A. Daily Bot-Side Series,Daily Unique Bots,731,171.92065663474693,62.764567681778615,60.0,118.0,169.0,214.0,377.0
A. Daily Bot-Side Series,Daily Unique Transactions,731,6610.075239398085,2321.187466788306,2524.0,4719.0,6151.0,8299.5,12808.0
B. Bot Cross-Section,"Total Volume (USD Millions, B_meas)",9800,25.25763816019693,917.7955344744086,0.0,0.00024190556074741524,0.0018721046258906044,0.014250388425184522,78078.93210363724
B. Bot Cross-Section,Days Active (B_pos),9799,12.790386774160629,37.2763076539525,1.0,1.0,3.0,9.0,731.0
B. Bot Cross-Section,Total Sandwich Trades (B_pos),9799,735.274007551791,37200.302489523274,1.0,1.0,4.0,16.0,2710558.0
B. Bot Cross-Section,"Avg Trade Size (USD, B_pos)",9799,24293.201952412557,629589.3535788229,2.4915810990339045e-08,102.21128663389706,376.57417246091785,1289.922656516072,58506457.06863434
C. Victim-Side Distribution,Victim Trade Size Distribution (USD),3753857,7332.075157273819,,1.2390000000000001e-23,354.965898,1001.8474213724876,3121.76,21005460.0
C. Victim-Side Distribution,Tier: Retail (Avg Tx Size USD),1876928,409.8401255161499,,1.2390000000000001e-23,,,,1001.8473368933512
C. Victim-Side Distribution,Tier: Small (Avg Tx Size USD),1501543,3082.2792413890224,,1001.8474213724876,,,,8986.590045019468
C. Victim-Side Distribution,Tier: Institutional (Avg Tx Size USD),375386,58942.38577784109,,8986.607999999998,,,,21005460.0
