Regressor / Statistic,Spec (1),Spec (2),Spec (3),Spec (4)
Constant,19.1722*** (0.0587),19.2526*** (0.0650),19.2603*** (0.0643),19.2526*** (0.0772)
Linear Trend ($t$),0.0012*** (0.0002),0.0033** (0.0014),0.0033* (0.0018),0.0033** (0.0016)
Dencun Step ($D_{\text{dencun}}$),---,-0.1282 (0.0841),-0.0938 (0.0929),-0.1282 (0.1047)
Dencun Slope ($S_{\text{dencun}}$),---,-0.0031** (0.0014),-0.0032* (0.0018),-0.0031* (0.0017)
Pectra Step ($D_{\text{pectra}}$),---,0.8153*** (0.1533),0.9496*** (0.1500),0.8153*** (0.2693)
Pectra Slope ($S_{\text{pectra}}$),---,-0.0018** (0.0009),-0.0020** (0.0008),-0.0018 (0.0015)
Day-of-Week FE,Yes (6),Yes (6),Yes (6),Yes (6)
Month FE,No,No,Yes (11),No
SE Type,HAC(7),HAC(7),HAC(7),Cluster (24)
Observations ($N$),731,731,731,731
$R^2$,0.3579,0.5110,0.6300,0.5110
Joint Wald F-Test: Dencun (p-val),---,2.58*** (0.0766),---,---
Joint Wald F-Test: Pectra (p-val),---,16.20*** (0.0000),---,---
