Panel,Metric,Value,Notes
A. Longevity Descriptives,Days Active (Mean / Median / Max),12.79 / 3.0 / 731,"N = 9,630 bots in B_pos"
A. Longevity Descriptives,Lifespan Days (Mean / Median / Max),147.80 / 20.0 / 731,Last seen minus first seen + 1
A. Longevity Descriptives,Single-Day Bots (days_active = 1),35.78%,"3,506 bot addresses"
A. Longevity Descriptives,Persistent Bot Volume Share (>= 30 days),96.95%,vs. Transient (< 30 days): 3.05%
B. Exact Variance Decomposition of ln(Volume),Var(ln Trades) Component Share,0.2651,Var = 3.0357
B. Exact Variance Decomposition of ln(Volume),Var(ln Avg Size) Component Share,0.4592,Var = 5.2581
B. Exact Variance Decomposition of ln(Volume),"2 * Cov(ln Trades, ln Avg Size) Share",0.2752,2*Cov = 3.1517
B. Exact Variance Decomposition of ln(Volume),Sum of Component Shares,0.9995,Total Var(ln V) = 11.4513
C. Descriptive OLS: ln(Volume),Constant,5.5920*** (0.0500),p = 0.0000
C. Descriptive OLS: ln(Volume),Cohort 2024H2,-0.4861*** (0.0517),p = 0.0000
C. Descriptive OLS: ln(Volume),Cohort 2025H1,-1.2958*** (0.0676),p = 0.0000
C. Descriptive OLS: ln(Volume),Cohort 2025H2,-1.3119*** (0.0853),p = 0.0000
C. Descriptive OLS: ln(Volume),ln(Days Active),1.4028*** (0.0174),p = 0.0000
C. Descriptive OLS: ln(Volume),ln(Intensity),1.5627*** (0.0328),p = 0.0000
C. Descriptive OLS: ln(Volume),Model Fit,R2 = 0.6328,"N = 9,799, HC3 Robust SEs"
D. Spearman Rank Correlations,"Spearman(Volume, Days Active)",0.7282***,Permutation p = 9.9990e-05 (10k perms)
D. Spearman Rank Correlations,"Spearman(Volume, Total Trades)",0.7858***,Permutation p = 9.9990e-05 (10k perms)
D. Spearman Rank Correlations,"Spearman(Volume, Avg Trade Size)",0.8590***,Permutation p = 9.9990e-05 (10k perms)
E. Entry Cohorts & Turnover,Cohort 2024H1,N = 4408 (39.99%),Active at end: 9.17%
E. Entry Cohorts & Turnover,Cohort 2024H2,N = 2829 (35.46%),Active at end: 2.26%
E. Entry Cohorts & Turnover,Cohort 2025H1,N = 1435 (11.15%),Active at end: 5.51%
E. Entry Cohorts & Turnover,Cohort 2025H2,N = 1127 (13.40%),Active at end: 23.78%
