sample,trade_size_bin,trade_size,odds_ratio_vs_under_100,ci95_low,ci95_high,reference
24m_primary_all_project_versions,01_<100,<$100,1.0,1.0,1.0,True
24m_primary_all_project_versions,02_100_250,$100–250,2.287154529987947,1.9718599253314488,2.6528638149411643,False
24m_primary_all_project_versions,03_250_500,$250–500,3.337746594150325,2.7714159836450207,4.0198051799173875,False
24m_primary_all_project_versions,04_500_1000,$500–1k,4.30876512239444,3.4285737625470847,5.41492123715329,False
24m_primary_all_project_versions,05_1000_2500,$1k–2.5k,5.072322329889904,3.993600377812657,6.4424207192186635,False
24m_primary_all_project_versions,06_2500_5000,$2.5k–5k,6.172757714633513,5.149953857381745,7.398694990043897,False
24m_primary_all_project_versions,07_5000_10000,$5k–10k,7.204275784919845,5.746216880227907,9.032306066234646,False
24m_primary_all_project_versions,08_10000_25000,$10k–25k,7.3711427999472265,5.661049337439351,9.597822406859729,False
24m_primary_all_project_versions,09_25000_50000,$25k–50k,6.488037999793154,4.311530818293978,9.763269442062413,False
24m_primary_all_project_versions,10_50000_100000,$50k–100k,5.020987204633078,2.9050092442744004,8.678221096465395,False
24m_primary_all_project_versions,11_100000_plus,≥$100k,5.732212176502031,3.9713470805145623,8.273831465816068,False
30m_robustness_all_project_versions,01_<100,<$100,1.0,1.0,1.0,True
30m_robustness_all_project_versions,02_100_250,$100–250,1.9430570563049674,1.592203606366488,2.3712235727642867,False
30m_robustness_all_project_versions,03_250_500,$250–500,2.6306957786062597,1.985523880535309,3.4855084582064917,False
30m_robustness_all_project_versions,04_500_1000,$500–1k,3.3356484653358645,2.3988740686731065,4.638238759424315,False
30m_robustness_all_project_versions,05_1000_2500,$1k–2.5k,3.870172392799845,2.657274928522468,5.63668974904244,False
30m_robustness_all_project_versions,06_2500_5000,$2.5k–5k,4.6705449789841476,3.308562257764198,6.593193266810431,False
30m_robustness_all_project_versions,07_5000_10000,$5k–10k,5.36825520440473,3.606400516391456,7.990838457524891,False
30m_robustness_all_project_versions,08_10000_25000,$10k–25k,5.42619726835456,3.5190974901466103,8.366809068955867,False
30m_robustness_all_project_versions,09_25000_50000,$25k–50k,4.80724786806393,2.8412681788343095,8.133562413135678,False
30m_robustness_all_project_versions,10_50000_100000,$50k–100k,3.7448993088885443,2.07289415012275,6.76555087623911,False
30m_robustness_all_project_versions,11_100000_plus,≥$100k,4.178699599419415,2.784825089529164,6.270243114313595,False
24m_coverage_conservative,01_<100,<$100,1.0,1.0,1.0,True
24m_coverage_conservative,02_100_250,$100–250,2.2871545299879577,1.966761461755182,2.6597408713592072,False
24m_coverage_conservative,03_250_500,$250–500,3.3377465941503406,2.7624363856707554,4.032871991025823,False
24m_coverage_conservative,04_500_1000,$500–1k,4.308765122394467,3.414926678991453,5.43656090602977,False
24m_coverage_conservative,05_1000_2500,$1k–2.5k,5.072322329889868,3.976968508441552,6.469363225705185,False
24m_coverage_conservative,06_2500_5000,$2.5k–5k,6.172757714633538,5.133695864566155,7.422126048908025,False
24m_coverage_conservative,07_5000_10000,$5k–10k,7.204275784919896,5.723581810942,9.068026159067186,False
24m_coverage_conservative,08_10000_25000,$10k–25k,7.371142799947384,5.635027774554585,9.642143455364051,False
24m_coverage_conservative,09_25000_50000,$25k–50k,6.488037999793212,4.280886785926497,9.833158219728604,False
24m_coverage_conservative,10_50000_100000,$50k–100k,5.020987204633156,2.8773967225531343,8.761500390783995,False
24m_coverage_conservative,11_100000_plus,≥$100k,5.732212176502143,3.945989849822368,8.326999735673061,False
