sample,month,cells,candidate_trades,attacked_trades
24m_primary_all_project_versions,2024-01,435,7009611,223295
24m_primary_all_project_versions,2024-02,423,6471135,174107
24m_primary_all_project_versions,2024-03,437,8233743,175627
24m_primary_all_project_versions,2024-04,439,7813564,235883
24m_primary_all_project_versions,2024-05,439,7975568,288223
24m_primary_all_project_versions,2024-06,440,8756630,292907
24m_primary_all_project_versions,2024-07,436,9574267,303658
24m_primary_all_project_versions,2024-08,448,9486967,234726
24m_primary_all_project_versions,2024-09,465,9732755,228627
24m_primary_all_project_versions,2024-10,460,9828256,200746
24m_primary_all_project_versions,2024-11,478,8927081,133581
24m_primary_all_project_versions,2024-12,486,7954548,88937
24m_primary_all_project_versions,2025-01,481,8233681,100065
24m_primary_all_project_versions,2025-02,483,7963458,97025
24m_primary_all_project_versions,2025-03,486,8278586,91370
24m_primary_all_project_versions,2025-04,488,8580240,96137
24m_primary_all_project_versions,2025-05,499,10141408,126431
24m_primary_all_project_versions,2025-06,487,9450780,125134
24m_primary_all_project_versions,2025-07,509,10717142,118874
24m_primary_all_project_versions,2025-08,513,11707644,110322
24m_primary_all_project_versions,2025-09,496,9886563,78784
24m_primary_all_project_versions,2025-10,490,10821005,76440
24m_primary_all_project_versions,2025-11,472,10566048,69696
24m_primary_all_project_versions,2025-12,457,10650756,83262
