trade_size_bin,candidate_trades,attacked_trades,unattacked_trades,candidate_volume_usd,attacked_volume_usd,attack_rate,attack_rate_pct,ci95_low_pct,ci95_high_pct,sample,trade_size
01_<100,53969689,267474,53702215,2014300562.2053287,14451677.204572456,0.004956004100746254,0.4956004100746254,0.4937304028199909,0.49747746458494935,24m_primary_all_project_versions,<$100
02_100_250,31977045,420839,31556206,5306625826.683448,72675931.67712927,0.013160659466814398,1.3160659466814397,1.3121218466966895,1.3200217436385293,24m_primary_all_project_versions,$100–250
03_250_500,28144783,534832,27609951,10223229318.193125,198513100.41782403,0.019002882345904033,1.9002882345904033,1.8952505905681432,1.9053390087929045,24m_primary_all_project_versions,$250–500
04_500_1000,27536801,643200,26893601,19824256056.322525,473008375.70832247,0.023357833032239293,2.3357833032239292,2.3301486988314606,2.341431206190922,24m_primary_all_project_versions,$500–1k
05_1000_2500,30995585,785620,30209965,49465686889.422264,1256154714.7945669,0.025346190433250412,2.534619043325041,2.529091680600977,2.5401581713559227,24m_primary_all_project_versions,$1k–2.5k
06_2500_5000,17138139,467033,16671106,60714374163.1329,1670407227.1951034,0.027251091848420648,2.725109184842065,2.717411475260313,2.732828087448988,24m_primary_all_project_versions,$2.5k–5k
07_5000_10000,11489378,308317,11181061,80731978246.56178,2180450843.967616,0.02683496008226033,2.683496008226033,2.674167585772238,2.692856071094278,24m_primary_all_project_versions,$5k–10k
08_10000_25000,8768035,202685,8565350,135985981599.86917,3072919787.847869,0.023116353892291715,2.3116353892291714,2.301709585143356,2.3216029798289815,24m_primary_all_project_versions,$10k–25k
09_25000_50000,3751718,63833,3687885,132343614300.66444,2219489126.7483296,0.01701433849772291,1.701433849772291,1.688396999666798,1.7145696075051644,24m_primary_all_project_versions,$25k–50k
10_50000_100000,2338324,27424,2310900,164478656910.65082,1918259774.9101756,0.011728058216055602,1.1728058216055601,1.159086832599226,1.186685239489694,24m_primary_all_project_versions,$50k–100k
11_100000_plus,2651939,32600,2619339,1195451498072.4353,14447231093.186945,0.012292892106492646,1.2292892106492646,1.2160977267016169,1.2426219877456366,24m_primary_all_project_versions,≥$100k
01_<100,82202128,446697,81755431,2922309552.985473,22326189.016600873,0.005434129393827858,0.5434129393827858,0.5418260131934822,0.5450044879690599,30m_robustness_all_project_versions,<$100
02_100_250,43529181,539446,42989735,7218312617.785816,92416070.1326011,0.012392744076668936,1.2392744076668936,1.2359922075100516,1.2425652141103043,30m_robustness_all_project_versions,$100–250
03_250_500,36266834,609552,35657282,13164689372.886845,225971579.92307764,0.016807422451047146,1.6807422451047147,1.6765636353466622,1.684931091015129,30m_robustness_all_project_versions,$250–500
04_500_1000,34652774,706005,33946769,24918983529.442997,519627662.39007384,0.020373693603865595,2.0373693603865597,2.032670924992867,2.0420784296446644,30m_robustness_all_project_versions,$500–1k
05_1000_2500,37466624,832905,36633719,59629447444.662605,1331092252.0314665,0.02223058581419025,2.223058581419025,2.218342635455278,2.227784324536325,30m_robustness_all_project_versions,$1k–2.5k
06_2500_5000,20185607,487321,19698286,71533141885.8906,1742377601.2396293,0.024142003755448126,2.4142003755448127,2.4075135537989136,2.420905309092346,30m_robustness_all_project_versions,$2.5k–5k
07_5000_10000,13422389,319700,13102689,94313113384.72366,2261868572.833519,0.023818412653663964,2.3818412653663965,2.373697424468602,2.390012362685316,30m_robustness_all_project_versions,$5k–10k
08_10000_25000,10205959,209731,9996228,158379916316.65018,3184220486.0330143,0.020549857196173332,2.054985719617333,2.046299791429992,2.0637077401951474,30m_robustness_all_project_versions,$10k–25k
09_25000_50000,4389313,67551,4321762,155034829217.22348,2355827363.8109946,0.015389879919704974,1.5389879919704974,1.5275143862906573,1.5505464222318208,30m_robustness_all_project_versions,$25k–50k
