sample,reference_bin,comparison_bin,log_odds_difference_larger_minus_lt100,odds_ratio_larger_vs_lt100,or_ci95_low,or_ci95_high,t_stat,p_value_two_sided,cluster_df,inference_method,p_value_holm,significant_holm_0_05,multiplicity_adjustment
24m_primary_all_project_versions,<$100,$100–250,0.8273084816202131,2.287154529987947,1.9718599253314488,2.6528638149411643,11.16445619974614,4.475004252062068e-16,58,CR1 project/version-clustered secondary contrast; two-sided t reference,1.790001700824827e-15,True,Holm FWER correction across 10 <$100-vs-larger contrasts within specification
24m_primary_all_project_versions,<$100,$250–500,1.205295906884678,3.337746594150325,2.7714159836450207,4.0198051799173875,12.975658363230975,8.510676350580074e-19,58,CR1 project/version-clustered secondary contrast; two-sided t reference,5.106405810348045e-18,True,Holm FWER correction across 10 <$100-vs-larger contrasts within specification
24m_primary_all_project_versions,<$100,$500–1k,1.460651348536876,4.30876512239444,3.4285737625470847,5.41492123715329,12.795282049664685,1.5588014783704462e-18,58,CR1 project/version-clustered secondary contrast; two-sided t reference,7.794007391852232e-18,True,Holm FWER correction across 10 <$100-vs-larger contrasts within specification
24m_primary_all_project_versions,<$100,$1k–2.5k,1.6237987659614566,5.072322329889904,3.993600377812657,6.4424207192186635,13.593937133605518,1.1036664148569455e-19,58,CR1 project/version-clustered secondary contrast; two-sided t reference,7.725664903998618e-19,True,Holm FWER correction across 10 <$100-vs-larger contrasts within specification
24m_primary_all_project_versions,<$100,$2.5k–5k,1.820145693432597,6.172757714633513,5.149953857381745,7.398694990043897,20.111828870566693,7.906452919004724e-28,58,CR1 project/version-clustered secondary contrast; two-sided t reference,7.906452919004723e-27,True,Holm FWER correction across 10 <$100-vs-larger contrasts within specification
24m_primary_all_project_versions,<$100,$5k–10k,1.9746747087741696,7.204275784919845,5.746216880227907,9.032306066234646,17.479716864124192,8.671875560302975e-25,58,CR1 project/version-clustered secondary contrast; two-sided t reference,7.804688004272677e-24,True,Holm FWER correction across 10 <$100-vs-larger contrasts within specification
24m_primary_all_project_versions,<$100,$10k–25k,1.997572755231707,7.3711427999472265,5.661049337439351,9.597822406859729,15.148217609045115,8.049534675231532e-22,58,CR1 project/version-clustered secondary contrast; two-sided t reference,6.439627740185225e-21,True,Holm FWER correction across 10 <$100-vs-larger contrasts within specification
24m_primary_all_project_versions,<$100,$25k–50k,1.8699601737307865,6.488037999793154,4.311530818293978,9.763269442062413,9.159365840759113,7.245273908576858e-13,58,CR1 project/version-clustered secondary contrast; two-sided t reference,1.4490547817153716e-12,True,Holm FWER correction across 10 <$100-vs-larger contrasts within specification
24m_primary_all_project_versions,<$100,$50k–100k,1.613626568679092,5.020987204633078,2.9050092442744004,8.678221096465395,5.902930495659696,1.9692600349420276e-07,58,CR1 project/version-clustered secondary contrast; two-sided t reference,1.9692600349420276e-07,True,Holm FWER correction across 10 <$100-vs-larger contrasts within specification
24m_primary_all_project_versions,<$100,≥$100k,1.7461015254186734,5.732212176502031,3.9713470805145623,8.273831465816068,9.523810347280554,1.8337098414957788e-13,58,CR1 project/version-clustered secondary contrast; two-sided t reference,5.501129524487337e-13,True,Holm FWER correction across 10 <$100-vs-larger contrasts within specification
