protocol_version,trade_size_bin,candidate_trades,attacked_trades,trade_size
0x API::settler,02_100_250,154996,0,$100–250
0x API::settler,03_250_500,101479,0,$250–500
0x API::settler,04_500_1000,82895,0,$500–1k
0x API::settler,05_1000_2500,76444,0,$1k–2.5k
0x API::settler,06_2500_5000,39150,0,$2.5k–5k
0x API::settler,07_5000_10000,28790,0,$5k–10k
0x API::settler,08_10000_25000,27815,0,$10k–25k
0x API::settler,09_25000_50000,11739,0,$25k–50k
0x API::settler,10_50000_100000,6726,0,$50k–100k
0x API::settler,11_100000_plus,4322,0,≥$100k
0x-API::v2,01_<100,13567,0,<$100
0x-API::v2,02_100_250,13308,0,$100–250
0x-API::v2,03_250_500,10084,0,$250–500
0x-API::v2,04_500_1000,13163,0,$500–1k
0x-API::v2,05_1000_2500,23472,0,$1k–2.5k
0x-API::v2,06_2500_5000,23045,0,$2.5k–5k
0x-API::v2,07_5000_10000,22128,0,$5k–10k
0x-API::v2,08_10000_25000,23965,0,$10k–25k
0x-API::v2,09_25000_50000,13190,0,$25k–50k
0x-API::v2,10_50000_100000,8976,0,$50k–100k
0x-API::v2,11_100000_plus,12826,0,≥$100k
0x-API::v3,01_<100,6,0,<$100
0x-API::v3,02_100_250,1,0,$100–250
0x-API::v3,03_250_500,4,0,$250–500
0x-API::v3,04_500_1000,2,0,$500–1k
0x-API::v3,05_1000_2500,8,0,$1k–2.5k
0x-API::v3,07_5000_10000,2,0,$5k–10k
0x-API::v4,01_<100,280380,0,<$100
0x-API::v4,02_100_250,166166,0,$100–250
0x-API::v4,03_250_500,132629,0,$250–500
0x-API::v4,04_500_1000,133932,0,$500–1k
0x-API::v4,05_1000_2500,156655,0,$1k–2.5k
0x-API::v4,06_2500_5000,95013,0,$2.5k–5k
0x-API::v4,07_5000_10000,73963,0,$5k–10k
0x-API::v4,08_10000_25000,71295,0,$10k–25k
0x-API::v4,09_25000_50000,34017,0,$25k–50k
0x-API::v4,10_50000_100000,22186,0,$50k–100k
0x-API::v4,11_100000_plus,27840,0,≥$100k
1inch-LOP::2.0,01_<100,61,0,<$100
1inch-LOP::2.0,02_100_250,8,0,$100–250
1inch-LOP::2.0,03_250_500,7,0,$250–500
1inch-LOP::2.0,04_500_1000,2,0,$500–1k
1inch-LOP::2.0,05_1000_2500,2,0,$1k–2.5k
1inch-LOP::2.0,06_2500_5000,3,0,$2.5k–5k
1inch-LOP::2.0,07_5000_10000,2,0,$5k–10k
1inch-LOP::2.0,11_100000_plus,1,0,≥$100k
1inch-LOP::3.0,01_<100,24986,0,<$100
1inch-LOP::3.0,02_100_250,9425,0,$100–250
1inch-LOP::3.0,03_250_500,9430,0,$250–500
1inch-LOP::3.0,04_500_1000,12155,0,$500–1k
1inch-LOP::3.0,05_1000_2500,17531,0,$1k–2.5k
1inch-LOP::3.0,06_2500_5000,13662,0,$2.5k–5k
1inch-LOP::3.0,07_5000_10000,14329,0,$5k–10k
1inch-LOP::3.0,08_10000_25000,16717,0,$10k–25k
1inch-LOP::3.0,09_25000_50000,8701,0,$25k–50k
1inch-LOP::3.0,10_50000_100000,5409,0,$50k–100k
1inch-LOP::3.0,11_100000_plus,3629,0,≥$100k
1inch-LOP::4.0,01_<100,509057,0,<$100
1inch-LOP::4.0,02_100_250,184765,0,$100–250
1inch-LOP::4.0,03_250_500,153101,0,$250–500
1inch-LOP::4.0,04_500_1000,140940,0,$500–1k
1inch-LOP::4.0,05_1000_2500,147012,0,$1k–2.5k
1inch-LOP::4.0,06_2500_5000,78127,0,$2.5k–5k
1inch-LOP::4.0,07_5000_10000,60129,0,$5k–10k
1inch-LOP::4.0,08_10000_25000,45736,0,$10k–25k
1inch-LOP::4.0,09_25000_50000,17943,0,$25k–50k
1inch-LOP::4.0,10_50000_100000,10179,0,$50k–100k
1inch-LOP::4.0,11_100000_plus,15248,0,≥$100k
airswap::swap_erc20_v4,01_<100,112274,0,<$100
airswap::swap_erc20_v4,02_100_250,31859,0,$100–250
airswap::swap_erc20_v4,03_250_500,19724,0,$250–500
