protocol_version,candidate_trades,attacked_trades
0x-API::v2,177724,0
0x-API::v3,23,0
0x-API::v4,1194076,0
1inch-LOP::2.0,86,0
1inch-LOP::3.0,135974,0
1inch-LOP::4.0,1362237,0
airswap::swap_erc20_v4,212400,0
carbon_defi::1,23625,0
clipper::4,129821,0
dfx::0.5,432,0
dodo::1,111368,0
eulerswap::1,27157,0
integral::size,85376,0
kyberswap::elastic,958,0
kyberswap::elastic_2,536,0
mauve::1,253,0
native::1,304220,0
origin_arm::1,32693,0
pancakeswap::mmpool,4028,0
swaap::2,307705,0
valantis::hot,7891,0
