sample,trade_size_bin,trade_size,full_log_odds,zero_outcome_excluded_log_odds,log_odds_change_excluded_minus_full,full_odds_ratio_vs_under_100,zero_outcome_excluded_odds_ratio_vs_under_100,OR_ratio_excluded_vs_full
24m_zero_outcome_clusters_excluded,02_100_250,$100–250,0.8273084816202131,0.8273084816202179,4.773959005888173e-15,2.287154529987947,2.2871545299879577,1.0000000000000049
24m_zero_outcome_clusters_excluded,03_250_500,$250–500,1.205295906884678,1.2052959068846827,4.6629367034256575e-15,3.337746594150325,3.3377465941503406,1.0000000000000047
24m_zero_outcome_clusters_excluded,04_500_1000,$500–1k,1.460651348536876,1.4606513485368824,6.439293542825908e-15,4.30876512239444,4.308765122394467,1.0000000000000064
24m_zero_outcome_clusters_excluded,05_1000_2500,$1k–2.5k,1.6237987659614566,1.6237987659614495,-7.105427357601002e-15,5.072322329889904,5.072322329889868,0.9999999999999929
24m_zero_outcome_clusters_excluded,06_2500_5000,$2.5k–5k,1.820145693432597,1.820145693432601,3.9968028886505635e-15,6.172757714633513,6.172757714633538,1.000000000000004
24m_zero_outcome_clusters_excluded,07_5000_10000,$5k–10k,1.9746747087741696,1.9746747087741767,7.105427357601002e-15,7.204275784919845,7.204275784919896,1.000000000000007
24m_zero_outcome_clusters_excluded,08_10000_25000,$10k–25k,1.997572755231707,1.9975727552317284,2.1316282072803006e-14,7.3711427999472265,7.371142799947384,1.0000000000000213
24m_zero_outcome_clusters_excluded,09_25000_50000,$25k–50k,1.8699601737307865,1.8699601737307954,8.881784197001252e-15,6.488037999793154,6.488037999793212,1.0000000000000089
24m_zero_outcome_clusters_excluded,10_50000_100000,$50k–100k,1.613626568679092,1.6136265686791074,1.532107773982716e-14,5.020987204633078,5.020987204633156,1.0000000000000153
24m_zero_outcome_clusters_excluded,11_100000_plus,≥$100k,1.7461015254186734,1.746101525418693,1.9539925233402755e-14,5.732212176502031,5.732212176502143,1.0000000000000195
