x,y
1.0,1.2390000000000022e-23
1.0,1.6722822202148494e-23
1.0,2.2570846037503823e-23
1.0,3.04639423113191e-23
1.0,4.1117279325964584e-23
1.0,5.549612200195162e-23
1.0,7.490329145660887e-23
1.0,1.0109720947413853e-22
1.0,1.3645122350035444e-22
1.0,1.8416864809217512e-22
1.0,2.485730070424147e-22
1.0,3.354997740939225e-22
1.0,4.528251066209594e-22
1.0,6.111794791518342e-22
1.0,8.24910876792406e-22
1.0,1.1133848204372724e-21
1.0,1.5027390149107062e-21
1.0,2.0282516031140814e-21
1.0,2.737537606142022e-21
1.0,3.694863168620514e-21
1.0,4.9869685092904165e-21
1.0,6.730927175833495e-21
1.0,9.084753705978512e-21
1.0,1.226172082125811e-20
1.0,1.6549683388723397e-20
1.0,2.233716003320995e-20
1.0,3.014853557193783e-20
1.0,4.069157385186963e-20
1.0,5.492154597662707e-20
1.0,7.412778437726104e-20
1.0,1.0005050511542737e-19
1.0,1.3503848331561238e-19
1.0,1.8226186819489729e-19
1.0,2.4599942018197825e-19
1.0,3.320261957655261e-19
1.0,4.4813680696066445e-19
1.0,6.048516662664826e-19
1.0,8.1637020771975075e-19
1.0,1.1018574523671116e-18
1.0,1.4871804897536301e-18
1.0,2.007252212482166e-18
1.0,2.7091946621637337e-18
1.0,3.656608607455512e-18
1.0,4.9353362070479996e-18
1.0,6.661238894131515e-18
1.0,8.990695211670565e-18
1.0,1.2134769773888169e-17
1.0,1.637833715841314e-17
1.0,2.2105893484018117e-17
1.0,2.9836394378762734e-17
1.0,4.0270275895821716e-17
1.0,5.43529187923565e-17
1.0,7.336030646750539e-17
1.0,9.901463775231838e-17
1.0,1.3364036985812408e-16
1.0,1.8037483003767457e-16
1.0,2.4345247881055527e-16
1.0,3.2858858093795393e-16
1.0,4.434970473512265e-16
1.0,5.985893680413566e-16
1.0,8.07917963991288e-16
1.0,1.0904494322637731e-15
1.0,1.4717830489250112e-15
1.0,1.98647023787805e-15
1.0,2.6811451652860637e-15
1.0,3.618750112770701e-15
1.0,4.884238476987037e-15
1.0,6.592272126194265e-15
1.0,8.897610546773718e-15
1.0,1.2009133107155649e-14
1.0,1.6208764951807868e-14
1.0,2.1877021340234027e-14
1.0,2.9527484922142275e-14
1.0,3.985333982482703e-14
1.0,5.379017885814268e-14
1.0,7.260077459777958e-14
1.0,9.798949518457865e-14
1.0,1.3225673169087963e-13
1.0,1.785073292254918e-13
1.0,2.409319070555522e-13
1.0,3.2518655726509887e-13
1.0,4.3890532523591755e-13
1.0,5.923919061740455e-13
1.0,7.995532301001145e-13
1.0,1.079159524464711e-12
1.0,1.456545024647177e-12
1.0,1.9659034282969164e-12
1.0,2.6533860773207094e-12
1.0,3.5812835839136853e-12
1.0,4.833669784444055e-12
1.0,6.524019401868891e-12
1.0,8.805489628799103e-12
1.0,1.1884797212693323e-11
1.0,1.6040948401651403e-11
1.0,2.165051881151373e-11
1.0,2.922177374247105e-11
1.0,3.9440720478349944e-11
1.0,5.323326522066866e-11
1.0,7.184910649919767e-11
1.0,9.697496637363336e-11
1.0,1.3088741894476219e-10
1.0,1.7665916347953072e-10
1.0,2.38437431900604e-10
1.0,3.218197562559079e-10
1.0,4.3436114326120465e-10
1.0,5.862586093849147e-10
1.0,7.912751000179803e-10
1.0,1.0679865061007249e-09
1.0,1.4414647664097047e-09
1.0,1.9455495560396332e-09
1.0,2.625914391535093e-09
1.0,3.544204962688007e-09
1.0,4.783624652058416e-09
1.0,6.4564733283444335e-09
1.0,8.714322479646337e-09
1.0,1.1761748623027589e-08
1.0,1.5874869330851952e-08
1.0,2.1426361364179002e-08
1.0,2.891922772656579e-08
1.0,3.9032373163422426e-08
1.0,5.2682117557693873e-08
1.0,7.1105220754641e-08
1.0,9.597094143053941e-08
1.0,1.295322833023186e-07
1.0,1.748301326152541e-07
1.0,2.3596878315600933e-07
1.0,3.1848781323448503e-07
1.0,4.2986400922287353e-07
1.0,5.801888133443762e-07
1.0,7.830826770971352e-07
1.0,1.0569291669635139e-06
1.0,1.426540640790616e-06
1.0,1.9254064164713965e-06
1.0,2.5987271323266332e-06
1.0,3.5075102329134612e-06
1.0,4.734097659179028e-06
1.0,6.3896265893509905e-06
1.0,8.624099224522754e-06
1.0,1.1639974010119583e-05
1.0,1.5710509750513224e-05
1.0,2.1204524718559695e-05
1.0,2.8619814104078772e-05
1.0,3.8628253649802595e-05
1.0,5.213667617152069e-05
1.0,7.03690367899385e-05
1.0,9.497731160408278e-05
1.0,0.0001281911779816902
1.0,0.0001730200385207243
1.0,0.0002335256934294572
1.0,0.00031519036730058456
1.0,0.00042541343601271896
1.0,0.0005741818606009492
1.0,0.0007749750739732483
1.0,0.0010459863093746156
1.0,0.0014117710312795235
1.0,0.00190547182778299
1.0,0.00257182135490057
1.0,0.003471195419991186
1.0,0.004685083441277251
1.0,0.00632347194436718
1.0,0.00853481009087387
1.0,0.011519460183921413
1.0,0.015547851857985975
1.0,0.02098498484636362
1.0,0.028323500443948234
1.0,0.038228318165183475
1.0,0.051596881982528306
1.0,0.06964047486513845
1.0,0.09399396926899915
1.0,0.1268639577207177
1.0,0.17122868513514464
1.0,0.2311078980970709
1.0,0.31192706129052156
1.0,0.42100894156578705
1.0,0.5682371005100378
1.0,0.7669514124692338
1.0,1.03515674805566
1.0,1.3971543381024325
1.0,1.8857436307544309
0.9999999999999983,2.5451941449508078
0.9999999997450696,3.435256590473095
0.9999989328935883,4.63657668936568
0.9998591490444599,6.25800222783603
0.9989465483310409,8.4464454073246
0.9977965800256914,11.400194090947759
0.9931224522203967,15.386878034939828
0.9862976755490325,20.76771796807444
0.9719306792258675,28.030254650885848
0.9494722769329431,37.832523390452714
0.912605673368293,51.06267652277392
0.8694117665199883,68.91945606587319
0.8184685257563491,93.02080791431713
0.7710468604152854,125.55047876120501
0.7231053323547819,169.45587842762296
0.7,228.7151352747415
0.7116150766606573,308.6975417384856
0.7240837064524688,416.6500488081551
0.775532510903621,562.353889163459
0.8152106937303333,759.0108235001861
0.7764665954656109,1024.4393100000004
1.223533404534389,1024.4393100000004
1.1847893062696668,759.0108235001861
1.2244674890963791,562.353889163459
1.2759162935475312,416.6500488081551
1.2883849233393427,308.6975417384856
1.3,228.7151352747415
1.2768946676452182,169.45587842762296
1.2289531395847146,125.55047876120501
1.181531474243651,93.02080791431713
1.1305882334800117,68.91945606587319
1.087394326631707,51.06267652277392
1.0505277230670569,37.832523390452714
1.0280693207741325,28.030254650885848
1.0137023244509675,20.76771796807444
1.0068775477796033,15.386878034939828
1.0022034199743086,11.400194090947759
1.001053451668959,8.4464454073246
1.00014085095554,6.25800222783603
1.0000010671064117,4.63657668936568
1.0000000002549303,3.435256590473095
1.0000000000000016,2.5451941449508078
1.0,1.8857436307544309
1.0,1.3971543381024325
1.0,1.03515674805566
1.0,0.7669514124692338
1.0,0.5682371005100378
